Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-18,17:00,Wolfsberger AC,Ried,2025-10-18 17:00:00,0.5444092886461213,0.2043445631242866,0.24338074964507025,0.24218124818863707,0.11229640011387038,0.36606211048032566,0.1672569060021072,2-1,0.09239826438295669,Challenger,Austrian Bundesliga,2025-2026
2025-10-18,17:00,Grazer AK,Hartberg,2025-10-18 17:00:00,0.15312469243346497,0.18170129021668172,0.6542790266611803,0.09390362169471012,0.3449572107739638,0.08931170032783689,0.4103897799870372,1-2,0.09651755984532723,Challenger,Austrian Bundesliga,2025-2026
2025-10-18,17:00,WSG Tirol,Austria Wien,2025-10-18 17:00:00,0.2031961116767605,0.22414441790682751,0.5693935062548642,0.15395107946195652,0.3590875422540448,0.08384538248405868,0.2852653387168371,1-1,0.10595331646515443,Challenger,Austrian Bundesliga,2025-2026
2025-10-19,14:30,RB Salzburg,SCR Altach,2025-10-19 14:30:00,0.7415425149908131,0.1754569990044474,0.07705869220915493,0.5968646783228746,0.12180197852597173,0.3458740304818925,0.015074313795310854,2-0,0.16208399397196852,Challenger,Austrian Bundesliga,2025-2026
2025-10-19,14:30,Blau-Weiß Linz,Sturm Graz,2025-10-19 14:30:00,0.2245233311499053,0.2879032570512926,0.4871567900600647,0.27323589804084303,0.4579232420733575,0.04464595464450373,0.14188825892188991,0-1,0.16239998193309324,Challenger,Austrian Bundesliga,2025-2026
2025-10-19,17:00,Rapid Wien,LASK,2025-10-19 17:00:00,0.6869616831094247,0.1854844462554137,0.1204563201140338,0.4552677048557088,0.11329749618216525,0.36421985609330604,0.04422436268426361,2-0,0.12318416458048163,Challenger,Austrian Bundesliga,2025-2026
2025-10-25,17:00,SCR Altach,Hartberg,2025-10-25 17:00:00,0.2896768835882146,0.2836085442696953,0.4262938272941683,0.28231494059165474,0.3718227555278537,0.07818371214252956,0.13447327449220484,0-1,0.13280804991494505,Challenger,Austrian Bundesliga,2025-2026
2025-10-25,17:00,LASK,Grazer AK,2025-10-25 17:00:00,0.7648862431832385,0.1316729432558955,0.07859793453631556,0.4395410810300009,0.06019910455463885,0.5081116690457432,0.045790298101241474,2-0,0.10713257025488652,Challenger,Austrian Bundesliga,2025-2026
2025-10-25,17:00,WSG Tirol,Blau-Weiß Linz,2025-10-25 17:00:00,0.5173566727679864,0.24267554335525246,0.23813360684065915,0.34857247937045355,0.18748252600546203,0.23417071310582713,0.08987815339193098,1-1,0.11531561261037943,Challenger,Austrian Bundesliga,2025-2026
2025-10-26,14:30,Ried,Rapid Wien,2025-10-26 14:30:00,0.33965820878582775,0.3419076169634203,0.31837561549194493,0.43823971333175166,0.42191119635409413,0.05685858877826924,0.05105082829806276,0-0,0.18490906978729352,Challenger,Austrian Bundesliga,2025-2026
2025-10-26,14:30,Sturm Graz,Wolfsberger AC,2025-10-26 14:30:00,0.43090481834178945,0.2269221710770659,0.33854080986697677,0.209100753701813,0.16732093936259188,0.2630381896606496,0.20531376848870883,1-1,0.09802630636349223,Challenger,Austrian Bundesliga,2025-2026
2025-10-26,17:00,Austria Wien,RB Salzburg,2025-10-26 17:00:00,0.5051961411735073,0.2185809423205935,0.27143808467117037,0.24690758761454637,0.13942895796631183,0.31072539551499906,0.16389138725705502,1-1,0.09501271845555867,Challenger,Austrian Bundesliga,2025-2026
2025-11-01,17:00,Blau-Weiß Linz,LASK,2025-11-01 17:00:00,0.6474476273188674,0.23398967953723138,0.11688410500926935,0.5798355380884602,0.1889597230694829,0.23220997923855147,0.017855697624259807,1-0,0.18286725396526102,Challenger,Austrian Bundesliga,2025-2026
2025-11-01,17:00,Grazer AK,SCR Altach,2025-11-01 17:00:00,0.36899201096626427,0.32704564119274593,0.3038666792210031,0.42969955093674417,0.3813014997502227,0.07375558480273987,0.05401561600466134,0-0,0.1638607595469136,Challenger,Austrian Bundesliga,2025-2026
2025-11-01,17:00,Hartberg,Austria Wien,2025-11-01 17:00:00,0.19223748144750472,0.2283923621819259,0.5766419010706941,0.1631678285671008,0.38990019871611,0.06922074253905253,0.27015382174462044,0-1,0.11565195588180445,Challenger,Austrian Bundesliga,2025-2026
2025-11-02,14:30,RB Salzburg,Ried,2025-11-02 14:30:00,0.5128709320557687,0.19762313984250945,0.2777862734334593,0.18315121928471179,0.0973790409506712,0.40053878513560515,0.23530756783057397,2-1,0.0824742361449094,Challenger,Austrian Bundesliga,2025-2026
2025-11-02,14:30,Wolfsberger AC,WSG Tirol,2025-11-02 14:30:00,0.7879116185994669,0.11078048024861512,0.06259548353470912,0.4380033028965265,0.045137479548031705,0.5597039658992623,0.04366391580720595,3-0,0.10192115752785012,Challenger,Austrian Bundesliga,2025-2026
2025-11-02,17:00,Rapid Wien,Sturm Graz,2025-11-02 17:00:00,0.20422618358179598,0.22497825209970088,0.5676122607505608,0.15535187305623366,0.35937220893602434,0.08371986432747638,0.2829077838717592,1-1,0.10640129287287822,Challenger,Austrian Bundesliga,2025-2026
2025-11-08,17:00,Austria Wien,Grazer AK,2025-11-08 17:00:00,0.7402668833742518,0.16574241081087254,0.08517710674754238,0.5333112197168685,0.10304292515826785,0.38787279515742557,0.024891279540853645,2-0,0.14317318966926507,Challenger,Austrian Bundesliga,2025-2026
2025-11-08,17:00,Ried,Blau-Weiß Linz,2025-11-08 17:00:00,0.41190858890223864,0.34906844813239757,0.23895964417967686,0.5266960364433385,0.38916041213043595,0.07019402935582782,0.027360339232907104,0-0,0.20498222583538409,Challenger,Austrian Bundesliga,2025-2026
2025-11-08,17:00,Wolfsberger AC,Hartberg,2025-11-08 17:00:00,0.5871972584069208,0.20275737492224885,0.2030036132805789,0.3008275442175151,0.1152117925758353,0.3598538519233537,0.11824614925480295,2-1,0.09732095769269307,Challenger,Austrian Bundesliga,2025-2026
2025-11-09,14:30,WSG Tirol,Rapid Wien,2025-11-09 14:30:00,0.41471662984708424,0.24743895906793767,0.3362935587148949,0.2579393690922288,0.2162952086329265,0.19773190575541474,0.15482308145183699,1-1,0.11580191002650649,Challenger,Austrian Bundesliga,2025-2026
2025-11-09,14:30,LASK,SCR Altach,2025-11-09 14:30:00,0.6560127001912865,0.21323924540269684,0.12754747271334962,0.5063368935666683,0.15360172381111145,0.28590440675424766,0.031336945907004185,1-0,0.1461688850165132,Challenger,Austrian Bundesliga,2025-2026
2025-11-09,17:00,Sturm Graz,RB Salzburg,2025-11-09 17:00:00,0.6481390481665453,0.1776977221820575,0.16069045944311908,0.3116083658885856,0.0848598350451944,0.4342162357942635,0.10874770639618019,2-1,0.09398285843843313,Challenger,Austrian Bundesliga,2025-2026
2025-11-22,17:00,SCR Altach,Wolfsberger AC,2025-11-22 17:00:00,0.19682588464101322,0.24782648406545688,0.5538826286132512,0.1978256587139862,0.42581757410225135,0.05512575155376412,0.2204696127941184,0-1,0.13669373056436057,Challenger,Austrian Bundesliga,2025-2026
