Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,20:30,Union Berlin,Gladbach,2025-10-17 20:30:00,0.3476315565341111,0.25842278751299863,0.39294440321052404,0.24802151668691047,0.27367602367294835,0.14130369612300878,0.16434521134023858,1-1,0.12266300256245351,Champion,Bundesliga,2025-2026
2025-10-18,15:30,Wolfsburg,Stuttgart,2025-10-18 15:30:00,0.3188651494091276,0.21366412183301584,0.4611199303645489,0.13274792551894127,0.19042140030179802,0.22792569049638345,0.32284228074235743,1-2,0.08563709200516673,Champion,Bundesliga,2025-2026
2025-10-18,15:30,RB Leipzig,Hamburger SV,2025-10-18 15:30:00,0.5567430284806029,0.3294846286184436,0.1136067178914754,0.7083090955168784,0.3264314211005203,0.1033835212853258,0.005282451131896779,1-0,0.25889550255218535,Champion,Bundesliga,2025-2026
2025-10-18,15:30,Köln,Augsburg,2025-10-18 15:30:00,0.5265035469793422,0.2927850096752213,0.18032629647663823,0.5359128208951897,0.2760093774942172,0.1395950964697756,0.025476318830968524,1-0,0.1904892733342954,Champion,Bundesliga,2025-2026
2025-10-18,15:30,Heidenheim,Werder Bremen,2025-10-18 15:30:00,0.13603038013494337,0.16762708715806912,0.6809621343512835,0.07902264454541258,0.34502732855742957,0.08800598346966765,0.4505528319945037,1-2,0.0935250513287091,Champion,Bundesliga,2025-2026
2025-10-18,15:30,Mainz 05,Leverkusen,2025-10-18 15:30:00,0.28271794853489784,0.2524760852708478,0.4635080145632445,0.2128773280480839,0.31622327608823664,0.1095814930024541,0.20185790099534,1-1,0.11992461648897519,Champion,Bundesliga,2025-2026
2025-10-18,18:30,Bayern Munich,Dortmund,2025-10-18 18:30:00,0.7698177783029951,0.07817761451622349,0.048131670049977794,0.33512244695594995,0.019584312856465676,0.6480525011823006,0.06922703456650856,3-0,0.07425858606964796,Champion,Bundesliga,2025-2026
2025-10-19,15:30,Freiburg,Eint Frankfurt,2025-10-19 15:30:00,0.41815624425427017,0.21960382802877904,0.3571996576502202,0.18018363985970529,0.15479741275415873,0.2828337262968519,0.24289791130528143,1-1,0.08937464166952203,Champion,Bundesliga,2025-2026
2025-10-19,17:30,St. Pauli,Hoffenheim,2025-10-19 17:30:00,0.2842030758545196,0.326812805962229,0.3888820035860433,0.36963649248917085,0.44781516257495585,0.047872216709337896,0.0793406422922514,0-0,0.1655457306132756,Champion,Bundesliga,2025-2026
2025-10-24,20:30,Werder Bremen,Union Berlin,2025-10-24 20:30:00,0.45056623478669294,0.26607872209355005,0.2825653455828616,0.3451429639200696,0.24228890590967303,0.1700585614378604,0.09208910890143535,1-1,0.12612034364332173,Champion,Bundesliga,2025-2026
