Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,19:00,Silkeborg,FC Copenhagen,2025-10-17 19:00:00,0.11449489476484663,0.14050812018508033,0.7123584460118371,0.05083774010366936,0.30866985390625395,0.10459052058461761,0.5395141544382713,1-2,0.08223057370566576,Challenger,Danish Superliga,2025-2026
2025-10-19,14:00,Nordsjælland,Randers,2025-10-19 14:00:00,0.30044982557173594,0.3388738120284137,0.36060991440823303,0.4034659458433853,0.4494248260336425,0.0473624820790321,0.06407414589568038,0-0,0.18133966217751468,Challenger,Danish Superliga,2025-2026
2025-10-19,14:00,Viborg,Odense,2025-10-19 14:00:00,0.712953883196338,0.10384957337233633,0.0882961778766285,0.22728713184843924,0.02154889492641601,0.6422554750100501,0.14642948485079255,3-1,0.07042293509822636,Challenger,Danish Superliga,2025-2026
2025-10-19,16:00,Brøndby,AGF,2025-10-19 16:00:00,0.29584289218891174,0.18419736161580572,0.49713874778463046,0.07189339902517847,0.12964235413136482,0.31930513474534633,0.4681610148779852,2-2,0.06749925437717572,Challenger,Danish Superliga,2025-2026
2025-10-19,18:00,Midtjylland,Vejle BK,2025-10-19 18:00:00,0.7419626068548442,0.15645397029992578,0.08905601627025041,0.4850624849620866,0.08739514883222325,0.42748509784060945,0.03502494697493575,2-0,0.12751168217254014,Challenger,Danish Superliga,2025-2026
2025-10-20,19:00,SønderjyskE,FC Fredericia,2025-10-20 19:00:00,0.4566820138954329,0.21749553386771608,0.3204385573287568,0.19890730536679718,0.1415585791220879,0.30635368164952254,0.21720341308357408,1-1,0.08909415931951266,Challenger,Danish Superliga,2025-2026
2025-10-24,19:00,AGF,Nordsjælland,2025-10-24 19:00:00,0.7453260689470316,0.13470788441236742,0.09174138497865687,0.3830872625293726,0.05568709215526891,0.5230436991884808,0.06607388698310089,2-0,0.09154544423578759,Challenger,Danish Superliga,2025-2026
2025-10-26,14:00,FC Fredericia,Midtjylland,2025-10-26 14:00:00,0.12116479329284577,0.2533951586520743,0.6244116091539877,0.21706713295365804,0.601216678375847,0.014967297972823576,0.19707170209976985,0-1,0.19955687190120594,Challenger,Danish Superliga,2025-2026
2025-10-26,14:00,Vejle BK,Silkeborg,2025-10-26 14:00:00,0.37039391811042954,0.17956065375580021,0.4162850486206193,0.06852215188560647,0.07908348081279587,0.4373991336350287,0.4715743539645725,2-2,0.06315926238183267,Challenger,Danish Superliga,2025-2026
2025-10-26,16:00,Randers,SønderjyskE,2025-10-26 16:00:00,0.37181745955858836,0.2007133251074185,0.4153741453332932,0.11350521399731918,0.1278219207313691,0.32941176016643947,0.36059001748803177,2-2,0.07271405804803041,Challenger,Danish Superliga,2025-2026
2025-10-26,18:00,FC Copenhagen,Viborg,2025-10-26 18:00:00,0.5721174159596933,0.19669999445210742,0.2214523972264314,0.2515254330386189,0.10107703093155691,0.39225788783958015,0.1575235175824949,2-1,0.09239646206416026,Challenger,Danish Superliga,2025-2026
2025-10-27,19:00,Odense,Brøndby,2025-10-27 19:00:00,0.1970806151471426,0.266968755862578,0.5351420704774728,0.23226865349533066,0.46356992681485587,0.04288323002672319,0.18034743586936136,0-1,0.15731269336376086,Challenger,Danish Superliga,2025-2026
2025-11-01,18:00,FC Copenhagen,FC Fredericia,2025-11-01 18:00:00,0.5939861235519037,0.13041363849907034,0.16843444268866858,0.10491381048216909,0.01996210395634184,0.6424929600950554,0.3205754732909881,3-2,0.05379443476897059,Challenger,Danish Superliga,2025-2026
2025-11-02,14:00,Viborg,Randers,2025-11-02 14:00:00,0.37504536491927654,0.25604487568229345,0.3678150234992395,0.2561403131942144,0.2521173094472476,0.1604002088431383,0.1566504767696041,1-1,0.1212274271058192,Challenger,Danish Superliga,2025-2026
2025-11-02,16:00,SønderjyskE,Vejle BK,2025-11-02 16:00:00,0.342016457669056,0.34149771369660825,0.3164264037423052,0.43927687257430276,0.4196581279658825,0.05770146264572425,0.05069910650580118,0-0,0.184357065401946,Challenger,Danish Superliga,2025-2026
2025-11-02,18:00,Nordsjælland,Odense,2025-11-02 18:00:00,0.6618248038868186,0.18784038560254088,0.14232584032956297,0.3947126937390157,0.10775447317746362,0.37676611362264595,0.06588246727733833,2-0,0.10640216207856021,Challenger,Danish Superliga,2025-2026
