Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-18,14:00,Sarpsborg 08,Bodø/Glimt,2025-10-18 14:00:00,0.09833751121120399,0.11609971833988886,0.7177527143358106,0.02936953763172454,0.2520924042577236,0.13461985080529248,0.6165091791384721,1-3,0.07600079777169103,Contender,Eliteserien,2025
2025-10-18,16:00,Bryne,Rosenborg,2025-10-18 16:00:00,0.5186047480781928,0.22674021963843125,0.25130712737165817,0.2921522246356731,0.15580691075282527,0.2820416753114903,0.1258378197962643,1-1,0.10420484029470124,Contender,Eliteserien,2025
2025-10-18,18:00,Brann,Haugesund,2025-10-18 18:00:00,0.8395412713623964,0.0672598651901401,0.02518111043770448,0.55368389720675,0.02916010080749039,0.6175518667876633,0.014917611065998565,3-0,0.127538942212899,Contender,Eliteserien,2025
2025-10-19,14:30,Tromsø,Viking,2025-10-19 14:30:00,0.702004789041738,0.15051286119670768,0.12264736947968352,0.3222608895907787,0.06039542572182037,0.5073763200681182,0.09843236789378472,2-1,0.08705547786284326,Contender,Eliteserien,2025
2025-10-19,17:00,KFUM Oslo,Kristiansund,2025-10-19 17:00:00,0.6784027754487989,0.030869899452065672,0.014570125524384693,0.3078175648676057,0.005215650481628291,0.619169165375169,0.04027381085720277,5-0,0.07414432512926046,Contender,Eliteserien,2025
2025-10-19,17:00,Molde,Sandefjord,2025-10-19 17:00:00,0.645816903942264,0.1414908201017866,0.1569369331812509,0.1787085816163911,0.03511342423247479,0.5948538776343761,0.2196531677578145,3-1,0.06923042837943386,Contender,Eliteserien,2025
2025-10-19,17:00,HamKam,Vålerenga,2025-10-19 17:00:00,0.6334204410204342,0.13093184712346684,0.15189938745461512,0.14381988436110948,0.024885878257829074,0.6300629901567326,0.2583009143932253,3-1,0.06069075689609105,Contender,Eliteserien,2025
2025-10-19,19:15,Strømsgodset,Fredrikstad,2025-10-19 19:15:00,0.4896254828800396,0.25129359611407687,0.25771887819162564,0.3421746435578483,0.20635450151350967,0.20971847771097393,0.09360994994339276,1-1,0.11951968425046448,Contender,Eliteserien,2025
2025-10-25,16:00,Viking,Bryne,2025-10-25 16:00:00,0.8291661109435672,0.09701816813388796,0.039316273245283306,0.5664591483777044,0.048828544295369765,0.5466520498410987,0.016445032370750762,3-0,0.13143687953404656,Contender,Eliteserien,2025
2025-10-25,18:00,Sarpsborg 08,KFUM Oslo,2025-10-25 18:00:00,0.5452360744234213,0.2109931595972144,0.2378403014090451,0.26853635080996074,0.12544768052973923,0.338080656845809,0.14380325609406408,2-1,0.09555678371847988,Contender,Eliteserien,2025
2025-10-26,14:30,Rosenborg,Brann,2025-10-26 14:30:00,0.4204023661256384,0.2144955301585216,0.358760232910895,0.1670884774503544,0.1428103911331073,0.3034678929647094,0.261972592179953,1-1,0.08333631619771224,Contender,Eliteserien,2025
2025-10-26,17:00,Kristiansund,HamKam,2025-10-26 17:00:00,0.59524648754321,0.24816571530074497,0.15526557943958263,0.5098358855561266,0.20277765581230064,0.21419811718515422,0.030816787060297158,1-0,0.16518080212428574,Contender,Eliteserien,2025
2025-10-26,17:00,Sandefjord,Fredrikstad,2025-10-26 17:00:00,0.5077097678886057,0.25694189269741424,0.23422915817215892,0.38549230896092973,0.21535983198034403,0.1990161762396564,0.07158093907237055,1-0,0.12760967554627603,Contender,Eliteserien,2025
2025-10-26,17:00,Bodø/Glimt,Molde,2025-10-26 17:00:00,0.7136134090478301,0.019630866846871153,0.005920122264254405,0.45735771517659374,0.005769672350808357,0.6269854121813656,0.009549943465032129,5-0,0.10831456618830113,Contender,Eliteserien,2025
2025-10-26,17:00,Haugesund,Tromsø,2025-10-26 17:00:00,0.05867877308247983,0.11511014776587965,0.7963833087801941,0.05371942260676548,0.4905780559992151,0.031015343074363808,0.5297383613931645,0-2,0.11612009379206358,Contender,Eliteserien,2025
2025-10-26,19:15,Vålerenga,Strømsgodset,2025-10-26 19:15:00,0.661390801238799,0.15221432387046666,0.1527134442159147,0.23539384239900274,0.05021429634372738,0.541343007323849,0.16338567803106532,2-1,0.0772956355144039,Contender,Eliteserien,2025
2025-10-29,19:00,Brann,Bodø/Glimt,2025-10-29 19:00:00,0.20623889899865283,0.20032534062088286,0.585593832912322,0.110260043490061,0.2878259739661091,0.12754662075123008,0.370868352415021,1-2,0.09621923926491972,Contender,Eliteserien,2025
2025-10-29,21:00,Rosenborg,Sandefjord,2025-10-29 21:00:00,0.5299391278920067,0.19140194431111987,0.2640236228246645,0.1796007224013721,0.08641312757999532,0.4288714575227311,0.23889200593215063,2-1,0.08034186536122878,Contender,Eliteserien,2025
