Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,20:30,FC Andorra,Granada,2025-10-17 20:30:00,0.5046594577039465,0.22331903829898272,0.26808603344949233,0.2629738489745634,0.1491185002561846,0.29335967967039434,0.1493851639145843,1-1,0.09978593178549204,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-18,16:15,Ceuta,CD Mirandés,2025-10-18 16:15:00,0.5342230917322323,0.3525847498608735,0.11309347945366635,0.728041391537005,0.35769416441907,0.0854390372868777,0.0042042584385782,1-0,0.2677542568863158,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-18,18:30,Zaragoza,Leonesa,2025-10-18 18:30:00,0.2907519962488674,0.2763021132272853,0.43240334973816175,0.26689203673345774,0.35699197597936433,0.08568806043793663,0.14724901411861765,1-1,0.12963988665175843,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-18,21:00,Real Sociedad B,Huesca,2025-10-18 21:00:00,0.816472754096839,0.12149782290267244,0.04485137681187856,0.6247638006732664,0.07425621452697467,0.4644512124002348,0.010886787941342546,2-0,0.1595763199928135,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-19,14:00,Leganés,Málaga,2025-10-19 14:00:00,0.2589330048519444,0.40596678382155915,0.3350895153987939,0.5001539171605922,0.5651506589365894,0.02031309511782899,0.03326751516488771,0-0,0.28266533922105747,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-19,16:15,Castellón,Albacete,2025-10-19 16:15:00,0.5487742587957785,0.1699615606603325,0.24638235230799277,0.1338664631846522,0.05247819962574027,0.5309221746941485,0.3039060774093233,2-1,0.06240774667324939,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-19,16:15,Valladolid,Sporting Gijón,2025-10-19 16:15:00,0.6382917839374915,0.2145342687381576,0.14376318159481905,0.4646593667046487,0.1503487355017415,0.2914713218040699,0.04209910106734315,1-0,0.13282432750992965,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-19,18:30,Racing Sant,La Coruña,2025-10-19 18:30:00,0.46246531505221533,0.17190112288279058,0.32080404968964454,0.08104982936781671,0.051032482074211946,0.5292064835772449,0.4237108190226102,2-2,0.05842501551148479,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-19,18:30,Córdoba,Almería,2025-10-19 18:30:00,0.5576571509348422,0.18927775196310315,0.23873340816863797,0.20377222681998491,0.08529824288603717,0.4323325600313393,0.20687428007588687,2-1,0.08419913678086097,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-19,21:00,Las Palmas,Eibar,2025-10-19 21:00:00,0.44911904035060407,0.40027557128863794,0.1505777738127586,0.6973836060753744,0.43316373691053056,0.05280699647170185,0.005968236881492837,0-0,0.30208963093636415,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-20,20:30,Cádiz,Burgos,2025-10-20 20:30:00,0.6102586560735337,0.24575163734155409,0.14262922614740056,0.5344994550958044,0.20102580595959743,0.21640079892061836,0.02562489226623997,1-0,0.1726158635184166,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-24,20:30,Huesca,Las Palmas,2025-10-24 20:30:00,0.1360327325564243,0.478617747046353,0.3853449532581902,0.5321742674982619,0.7640460128015188,0.0026584894178487677,0.026260930932618932,0-0,0.4066074842305281,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-25,14:00,Leonesa,Ceuta,2025-10-25 14:00:00,0.19470339948968682,0.3966637474541309,0.40861058444525555,0.44679596298151264,0.6311992888038352,0.011542715964768246,0.048217091597810936,0-0,0.28202357434760483,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-25,16:15,Albacete,Córdoba,2025-10-25 16:15:00,0.6290793790148858,0.19577006154193505,0.1677635853788379,0.35297500072737686,0.11192376641919664,0.36723629373246386,0.0859362940934843,2-1,0.09867767731869041,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-25,16:15,Eibar,Leganés,2025-10-25 16:15:00,0.21238200723725226,0.42030002738875666,0.36730786089494827,0.4929975723428923,0.6285291455398094,0.011828899678195262,0.035020117997801505,0-0,0.3098664739371705,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-25,18:30,Burgos,Real Sociedad B,2025-10-25 18:30:00,0.7360600659113801,0.13672405754749292,0.09807785304967956,0.36180052371824006,0.05460271339037417,0.5266880911419546,0.07561599456116398,2-0,0.08601292107175061,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-25,18:30,Granada,Cádiz,2025-10-25 18:30:00,0.5196159780098879,0.21439745911563268,0.26045785635087626,0.24844873370421347,0.13089880232981727,0.32705037151443145,0.1621096039352783,2-1,0.0937491473897202,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-25,21:00,CD Mirandés,Racing Sant,2025-10-25 21:00:00,0.4301288578234884,0.2075184489128653,0.35366373062494766,0.1528639867486463,0.1250316029832674,0.3372859463453445,0.2841436760121605,2-1,0.07780366698521864,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-26,14:00,Málaga,FC Andorra,2025-10-26 14:00:00,0.6638264515409268,0.2111450042523776,0.1217577974310317,0.5185624315829944,0.15242325610409022,0.2879100504949639,0.02862182704396359,1-0,0.14917095528337063,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-26,18:30,Almería,Castellón,2025-10-26 18:30:00,0.5728297466705201,0.16730089863672754,0.22555877687560064,0.15101064121676702,0.05185829578962639,0.5339344963066655,0.27320447973038703,2-1,0.06585589744235126,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-26,18:30,Sporting Gijón,Zaragoza,2025-10-26 18:30:00,0.5580929371798728,0.16989094813866548,0.23866650468543382,0.1426630898763644,0.05350045757199866,0.5279130298319931,0.288378016398446,2-1,0.06472500225577574,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-26,21:00,La Coruña,Valladolid,2025-10-26 21:00:00,0.546843181214559,0.30449193747579834,0.14837405637176293,0.6113361086821187,0.29249556319664277,0.12663913118872397,0.013770092162579727,1-0,0.21987976251222824,Contender,LALIGA HYPERMOTION,2025-2026
2025-10-31,20:30,Racing Sant,Real Sociedad B,2025-10-31 20:30:00,0.6887105259988842,0.07015441771770634,0.053411348949837185,0.20309895085271473,0.009655511962736212,0.6538992999962662,0.13224921645224802,4-1,0.0646394973285456,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-01,16:15,Leonesa,CD Mirandés,2025-11-01 16:15:00,0.12192533124597789,0.28946410361914965,0.5881902491796374,0.2701409070235567,0.6490883986030529,0.009734527951495254,0.14450143578363267,0-1,0.22959043018606684,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-01,18:30,Leganés,Burgos,2025-11-01 18:30:00,0.17886281769492887,0.33504272203745217,0.4859706627507961,0.34464573939491044,0.5935803242867406,0.016063918497607615,0.09256122573121399,0-1,0.21794774772683567,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-01,18:30,Albacete,Huesca,2025-11-01 18:30:00,0.7287712863920286,0.16997803676153703,0.09272194668408915,0.5130334834990282,0.10457113192212421,0.3842375119009425,0.029071881002226144,2-0,0.13792715157772173,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-01,21:00,Almería,Eibar,2025-11-01 21:00:00,0.7437383782736127,0.14787547981598848,0.09109232032358622,0.44333902201583003,0.07403066700966639,0.46510403850488746,0.04601952200777229,2-0,0.11316903494723557,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-02,14:00,FC Andorra,Cádiz,2025-11-02 14:00:00,0.5123393072434743,0.23255291376555548,0.25241396509717134,0.30523780011260065,0.16757950410531453,0.26312695022144106,0.11658464210181226,1-1,0.10848073872625486,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-02,16:15,Sporting Gijón,Las Palmas,2025-11-02 16:15:00,0.10769692849330406,0.33262258578460147,0.5595250605302915,0.3302689237737911,0.7234738441912392,0.004436363460449816,0.10101388278395218,0-1,0.2647513734304282,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-02,16:15,Córdoba,Ceuta,2025-11-02 16:15:00,0.6318640299710878,0.20120389234339908,0.16107853001840852,0.38507935189395104,0.12302645647626351,0.34328385498443653,0.07060417533247983,2-0,0.10460659113696426,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-02,18:30,Castellón,Málaga,2025-11-02 18:30:00,0.7347966209894298,0.12676590319852793,0.09650505926266116,0.3199604277113189,0.0427382745792449,0.5682224321514571,0.09467797824797101,3-1,0.08175062070868923,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-02,21:00,Zaragoza,La Coruña,2025-11-02 21:00:00,0.24536779137737733,0.2193887976122006,0.5308648523625248,0.14127068498028406,0.28093133664629527,0.13415256067561546,0.30747290475728106,1-1,0.09871575903805421,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-03,20:30,Valladolid,Granada,2025-11-03 20:30:00,0.5331956408918436,0.25914138881935034,0.20662892257820425,0.4323584749078391,0.21826049570718517,0.19569341667290308,0.0528830883447427,1-0,0.1437785214257465,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-07,20:30,CD Mirandés,Sporting Gijón,2025-11-07 20:30:00,0.5167964263090233,0.22063323653014683,0.2582750083447098,0.2676383652447268,0.14347414122533036,0.3034074002083,0.14518646769657864,1-1,0.09838551855809842,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-08,14:00,Real Sociedad B,Leganés,2025-11-08 14:00:00,0.26469075555192834,0.3991140734809365,0.3361825409358467,0.49240293024391635,0.5528904609404339,0.022385949805916277,0.03516860466921383,0-0,0.272248321575799,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-08,16:15,Eibar,Albacete,2025-11-08 16:15:00,0.5940669076853685,0.21966065586059264,0.1827454735928229,0.38676804481410415,0.14922846283088365,0.2933930874698475,0.07041653449969609,1-0,0.11017850591758996,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-08,16:15,Huesca,FC Andorra,2025-11-08 16:15:00,0.6720232064887783,0.18450359283209025,0.13506125964575982,0.4056881805399074,0.1054023075840535,0.3822552257190399,0.06127529809120796,2-0,0.10914878083285301,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-08,18:30,La Coruña,Leonesa,2025-11-08 18:30:00,0.5582991505603297,0.22517971391977323,0.21327333288804698,0.3443060621872815,0.15469979481231788,0.2839880896550787,0.09185570741145994,1-1,0.10601423634305303,Contender,LALIGA HYPERMOTION,2025-2026
2025-11-08,21:00,Málaga,Córdoba,2025-11-08 21:00:00,0.6574359263926478,0.21070479686070265,0.128388913557391,0.4978986822470573,0.14932535687359502,0.2932523873650306,0.03327851260311655,1-0,0.14187566404529026,Contender,LALIGA HYPERMOTION,2025-2026
