Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-18,01:00,FC Juárez,Pachuca,2025-10-18 01:00:00,0.5641480333848897,0.25307116973466476,0.18156665016191825,0.46492820032440463,0.20812684703215825,0.20761216625454543,0.04241208609396002,1-0,0.15206468782833213,Contender,Liga MX,2025-2026
2025-10-18,01:00,Toluca,Querétaro,2025-10-18 01:00:00,0.6753720968229779,0.1304310988591858,0.13085569237978562,0.20113690761689385,0.03135988937642944,0.6089186827722397,0.18756566834319874,3-1,0.07163891481492196,Contender,Liga MX,2025-2026
2025-10-18,01:00,Santos,León,2025-10-18 01:00:00,0.7782423467161423,0.176877357846389,0.041278018879435774,0.7732458467082436,0.14723768258172382,0.29691950131457945,0.0022408462085138675,1-0,0.2188935432638741,Contender,Liga MX,2025-2026
2025-10-17,03:00,Puebla,Tijuana,2025-10-17 03:00:00,0.27300956839257107,0.2838864526303441,0.442673309959095,0.27723296891742627,0.38979729780205463,0.06982225488500828,0.13857292562604143,0-1,0.1386893544871833,Contender,Liga MX,2025-2026
2025-10-17,05:00,Atlético,Atlas,2025-10-17 05:00:00,0.27370805005640564,0.3567875246193662,0.36946229479140985,0.42177459755977587,0.4979306307195154,0.03379940580543503,0.05691291970139322,0-0,0.21002333977961818,Contender,Liga MX,2025-2026
2025-10-17,05:00,UANL,Necaxa,2025-10-17 05:00:00,0.842392554754475,0.06271030230872326,0.02228602347215126,0.5664342665948872,0.02754451861883219,0.6232145927706915,0.01285600699652428,3-0,0.12994593916686448,Contender,Liga MX,2025-2026
2025-10-18,03:00,Monterrey,UNAM,2025-10-18 03:00:00,0.7133077448344352,0.12713015350569348,0.10852087167622465,0.26719161475247694,0.0370128122632799,0.5888824850169296,0.12832274045080688,3-1,0.07885462982908914,Contender,Liga MX,2025-2026
2025-10-18,03:07,Guadalajara,Mazatlán,2025-10-18 03:07:00,0.4999221068734623,0.2244019502514765,0.27188283497477006,0.2614532858311474,0.15152461238516882,0.28918938090837426,0.15078786115662987,1-1,0.10039335917781549,Contender,Liga MX,2025-2026
2025-10-18,05:05,Cruz Azul,América,2025-10-18 05:05:00,0.35711248725369277,0.21098597153099796,0.4244707159973845,0.13397626412275418,0.15948216488959158,0.27365226103283197,0.3197636493533926,1-2,0.07941323504928828,Contender,Liga MX,2025-2026
2025-10-21,03:00,América,Puebla,2025-10-21 03:00:00,0.7956774087315455,0.025489035506534752,0.0063228222413730835,0.5818683351608483,0.010805833120892935,0.6569995560453228,0.004635755585526541,4-0,0.13304791787630457,Contender,Liga MX,2025-2026
