Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,20:00,Troyes,Bastia,2025-10-17 20:00:00,0.805470982791636,0.15120316236869685,0.03701843098217114,0.7565151944251063,0.11887314248522586,0.3520740843542037,0.002741369916945546,2-0,0.20523695070175269,Contender,Ligue 2 BKT,2025-2026
2025-10-17,20:00,Rodez Aveyron,Reims,2025-10-17 20:00:00,0.34459818331478326,0.25556477471621286,0.3987163233021236,0.23956087077337307,0.2697129267377104,0.14460371812808506,0.17266513434191924,1-1,0.12102185053743664,Contender,Ligue 2 BKT,2025-2026
2025-10-17,20:00,Grenoble,Pau FC,2025-10-17 20:00:00,0.3462628042437951,0.25476942308034667,0.39781207558721116,0.23832154968202354,0.2668889316184857,0.14701936389428646,0.17391103958700904,1-1,0.12052983205831348,Contender,Ligue 2 BKT,2025-2026
2025-10-17,20:00,Clermont Foot,Annecy,2025-10-17 20:00:00,0.3886000754598821,0.2545147414234291,0.3557205844569581,0.26017999166227596,0.24203147058659255,0.17016103786561168,0.15294356686591484,1-1,0.1203202979373313,Contender,Ligue 2 BKT,2025-2026
2025-10-17,20:00,US Boulogne,Guingamp,2025-10-17 20:00:00,0.1580843212613993,0.17132267897942768,0.6538571996396597,0.07588846767588935,0.2956448849974295,0.11869764217489409,0.45949036192870085,1-2,0.09115617498359999,Contender,Ligue 2 BKT,2025-2026
2025-10-18,14:00,Dunkerque,Montpellier,2025-10-18 14:00:00,0.5051940576463958,0.2995759293754866,0.19491839456683968,0.5215069281429431,0.2892197267699142,0.12911926974592078,0.028408231850039163,1-0,0.18717255956155068,Contender,Ligue 2 BKT,2025-2026
2025-10-18,14:00,Stade Laval,Red Star,2025-10-18 14:00:00,0.13157146099470765,0.20013286211651624,0.6633867069661395,0.13146356369840773,0.4617051539350238,0.04269617212110776,0.3262768061589849,0-2,0.12555831827335703,Contender,Ligue 2 BKT,2025-2026
2025-10-18,20:00,Saint-Étienne,Le Mans,2025-10-18 20:00:00,0.5121237550841304,0.19195621922113124,0.2807246928154596,0.16432627898835667,0.08651926081019534,0.42817771182869496,0.2616494405906781,2-1,0.0773673108288804,Contender,Ligue 2 BKT,2025-2026
2025-10-20,20:45,Nancy,Amiens,2025-10-20 20:45:00,0.21646744624645187,0.3171381343288986,0.4662167359479502,0.32435378343318133,0.514385904852688,0.029966455632698532,0.10468524239091491,0-1,0.18788428030909107,Contender,Ligue 2 BKT,2025-2026
2025-10-24,20:00,Bastia,Stade Laval,2025-10-24 20:00:00,0.3808831956697425,0.30087649266350436,0.31802015856962224,0.3764091451909321,0.33316449045821844,0.09923663070596338,0.07602395184213018,1-0,0.13785759340899878,Contender,Ligue 2 BKT,2025-2026
2025-10-24,20:00,Red Star,Grenoble,2025-10-24 20:00:00,0.2892996427750199,0.22250914695612364,0.48399419264114263,0.14871570468846168,0.23843192308053066,0.17253024090667154,0.29393108941222695,1-1,0.09701384907837969,Contender,Ligue 2 BKT,2025-2026
2025-10-24,20:00,Pau FC,Dunkerque,2025-10-24 20:00:00,0.5515700326238557,0.259543502068446,0.18787972667543204,0.46578443517166124,0.21914038355648624,0.19469746089342113,0.04219943548208026,1-0,0.1551045103523694,Contender,Ligue 2 BKT,2025-2026
2025-10-24,20:00,Guingamp,Clermont Foot,2025-10-24 20:00:00,0.7053773175826902,0.15056133983864972,0.12010505396240614,0.3317540201808285,0.061687743869540256,0.5031981045161015,0.09303647759154776,2-1,0.08779187597237824,Contender,Ligue 2 BKT,2025-2026
