Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-08,22:00,Rionegro,Independiente,2025-10-08 22:00:00,0.23992607230420676,0.16618649405778557,0.5540721750832281,0.04783663786239253,0.12919868512783309,0.31013544892965594,0.5467905709651416,2-3,0.06062738570426908,Contender,Primera A,2025
2025-10-11,22:00,Tolima,Envigado,2025-10-11 22:00:00,0.739328900704503,0.14997532228264066,0.09390847919839444,0.43837690612395186,0.07522869665070168,0.46157664943121696,0.047710500248095235,2-0,0.11225711849911948,Contender,Primera A,2025
2025-10-12,21:00,Santa Fe,Llaneros,2025-10-12 21:00:00,0.795966656194228,0.1282291915435017,0.05750681084695145,0.557628016925531,0.07175327722153899,0.4719052375507049,0.0194879095202884,2-0,0.14144226471579285,Contender,Primera A,2025
2025-10-12,23:10,Alianza,Junior,2025-10-12 23:10:00,0.7413337835699769,0.04951615767246731,0.02640029905855438,0.32775723185300776,0.009995339201211113,0.6552126750407083,0.05319510091525873,4-0,0.07514915850016392,Contender,Primera A,2025
2025-10-12,01:20,CA Bucaramanga,Unión Magdalena,2025-10-12 01:20:00,0.8529770654360623,0.06501492926404032,0.020926290503372906,0.6104445634427919,0.03192611004582578,0.6076517594628228,0.009074313644728344,3-0,0.1413603884296502,Contender,Primera A,2025
2025-10-11,02:30,CD América,La Equidad,2025-10-11 02:30:00,0.828675437885968,0.12529967825886032,0.034102382362904395,0.7207246715281208,0.08950143550901503,0.42189203834958205,0.00408985573840425,2-0,0.19013987131252405,Contender,Primera A,2025
2025-10-13,00:15,Once Caldas,Independiente,2025-10-13 00:15:00,0.48143058338493383,0.17761279234846408,0.3083853893577745,0.10292383755046257,0.060286142930254825,0.5019592527835863,0.3727209055977605,2-2,0.0635985745288158,Contender,Primera A,2025
2025-10-12,03:30,Rionegro,Pasto,2025-10-12 03:30:00,0.77765819175949,0.1241367337454291,0.07039915109643735,0.45372063882182173,0.05616697243460378,0.5214588808052777,0.04094204397864078,2-0,0.1086660638071817,Contender,Primera A,2025
2025-10-13,02:30,Fortaleza FC,Boyacá Chicó,2025-10-13 02:30:00,0.8418608850744377,0.04305874274484559,0.012158658754315625,0.6083064480966577,0.01975891548684365,0.647649087619793,0.006568201988031811,3-0,0.13494003617009243,Contender,Primera A,2025
2025-10-15,01:20,Pereira,Millonarios,2025-10-15 01:20:00,0.7884892958045094,0.14407834129410238,0.0565595525639168,0.6183794448634443,0.09354448732533745,0.41138238765997254,0.012062683684322255,2-0,0.16414876873331505,Contender,Primera A,2025
2025-10-14,02:30,Nacional,AD Cali,2025-10-14 02:30:00,0.5421276079231137,0.2457084950765875,0.2105621316315651,0.3975812515137065,0.19333533584888196,0.22632088803680017,0.06617279343605216,1-0,0.12651576801769812,Contender,Primera A,2025
2025-10-17,01:00,Independiente,Fortaleza FC,2025-10-17 01:00:00,0.6862851307489766,0.13477532386568453,0.12830651644200383,0.23076776195944562,0.03740166887293991,0.5872353810112451,0.16101276750755922,3-1,0.07603388205416016,Contender,Primera A,2025
2025-10-18,21:00,Pasto,Nacional,2025-10-18 21:00:00,0.29449388772724266,0.17774630719910542,0.49697968996882436,0.0607220777732374,0.11280138852049441,0.3504672801235823,0.5016730055908508,2-2,0.06423881774525184,Contender,Primera A,2025
2025-10-18,23:10,Rionegro,Alianza,2025-10-18 23:10:00,0.6167694709755283,0.15474218565968068,0.1856574360583898,0.1704819031322669,0.04334550403576348,0.5646616018280531,0.23784451155256062,3-1,0.06858233241917631,Contender,Primera A,2025
2025-10-18,01:20,Junior,Pereira,2025-10-18 01:20:00,0.6973319851600942,0.22566574435276252,0.07539977334907534,0.6975849851004842,0.19152760575745728,0.22874952140980784,0.005874872612297524,1-0,0.22116945370614172,Contender,Primera A,2025
