Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-08-24,21:00,U de Chile,Everton,2025-08-24 21:00:00,0.8204565776433115,0.07938353491695022,0.036382850308010535,0.4860283535962919,0.030801381743432936,0.6116980419880861,0.027110178887862674,3-0,0.11233370676460831,Contender,Primera División de Chile,2025
2025-10-09,01:30,Univ Católica,Ñublense,2025-10-09 01:30:00,0.7163167660470368,0.1646670719100443,0.10688335025690948,0.4373718934843858,0.08882325871081945,0.42367019789484217,0.04894904776879031,2-0,0.11525732523202965,Contender,Primera División de Chile,2025
2025-10-12,17:00,Unión Española,Huachipato,2025-10-12 17:00:00,0.31854005967073773,0.15410548495642784,0.4195403285286931,0.02720623982961997,0.040719255248234096,0.5248562864676996,0.5953427394793643,3-3,0.04776081786104398,Contender,Primera División de Chile,2025
2025-10-13,21:00,U de Chile,Palestino,2025-10-13 21:00:00,0.5866826852106871,0.1922999985788811,0.2101042860593103,0.25660452275348283,0.09540432997036934,0.40632586035529333,0.1523866251206151,2-1,0.09217952445114687,Contender,Primera División de Chile,2025
2025-10-17,23:00,Audax Italiano,La Calera,2025-10-17 23:00:00,0.5127929924705209,0.3975833199581492,0.08958352198111198,0.8014817950151125,0.41112444896945877,0.060994864845792966,0.0015305010488179417,0-0,0.32952199678013133,Contender,Primera División de Chile,2025
2025-10-17,01:30,Iquique,O'Higgins,2025-10-17 01:30:00,0.2455028024310968,0.18164725404872567,0.552275497910966,0.07126102909076237,0.17155774094958845,0.24767271150207082,0.47190157662317317,1-2,0.07582600656386061,Contender,Primera División de Chile,2025
2025-10-18,20:00,La Serena,Ñublense,2025-10-18 20:00:00,0.2874278711867837,0.2091044219792932,0.4961386733725712,0.12032425846679225,0.2052564220573271,0.2082990174271338,0.34824292271717067,1-2,0.08788532912343026,Contender,Primera División de Chile,2025
2025-10-18,22:30,CD Limache,Cobresal,2025-10-18 22:30:00,0.6931135701394193,0.189079132847233,0.11196830199654303,0.49448581538107356,0.12272336234852474,0.34394500169151837,0.03373931582431443,2-0,0.13431615011637973,Contender,Primera División de Chile,2025
2025-10-19,17:30,Coquimbo Unido,Colo-Colo,2025-10-19 17:30:00,0.5988041536883225,0.2644910532315563,0.13590020947454687,0.5824756853421906,0.231504393627683,0.18115942687867048,0.01755874798113262,1-0,0.19745897321256076,Contender,Primera División de Chile,2025
2025-10-19,20:00,Everton,Univ Católica,2025-10-19 20:00:00,0.37965142602923946,0.23237760788645076,0.38507653231382133,0.19573525516998597,0.19827030031640713,0.21921021039925423,0.2225159035693192,1-1,0.10253543289138238,Contender,Primera División de Chile,2025
