Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-18,12:00,Nizhny Novgorod,FK Akron Tolyatti,2025-10-18 12:00:00,0.6899360973121434,0.11435028452519136,0.10788765948126075,0.19936896987457753,0.02333319097408472,0.63651759500269,0.17860931088165616,3-1,0.06858123864301531,Contender,Russian Premier League,2025-2026
2025-10-18,12:00,Samara,Orenburg,2025-10-18 12:00:00,0.4538043556753273,0.08015426548177662,0.09359066203291261,0.0406219649005302,0.003030040034370169,0.5564719158678374,0.31999474004482414,5-2,0.0400430005684832,Contender,Russian Premier League,2025-2026
2025-10-18,14:15,Spartak Moscow,Rostov,2025-10-18 14:15:00,0.48776888754667264,0.3193013080403433,0.19274924061923784,0.5524321027529021,0.32220543418252157,0.10604984379122868,0.022446418153474514,1-0,0.20162877811662552,Contender,Russian Premier League,2025-2026
2025-10-18,16:30,D'mo Makhachkala,Krasnodar,2025-10-18 16:30:00,0.14438015764993334,0.5415241995400005,0.31409486126510316,0.6184553620563157,0.7794516602829235,0.002141194829638371,0.012953791343760894,0-0,0.48205643551445093,Contender,Russian Premier League,2025-2026
2025-10-18,18:45,Loko Moscow,CSKA Moscow,2025-10-18 18:45:00,0.40684266062384544,0.22322357513241683,0.3656284126867312,0.1842171241551674,0.16648028338254567,0.2640090849603992,0.2375070837199109,1-1,0.09318442289484058,Contender,Russian Premier League,2025-2026
2025-10-19,13:30,Sochi,Zenit,2025-10-19 13:30:00,0.11139539319463895,0.1803892688301401,0.7005915995988183,0.10986414165365907,0.4714720656750484,0.03943040967492502,0.3719483507476403,0-2,0.12729151104895697,Contender,Russian Premier League,2025-2026
2025-10-19,16:00,Rubin Kazan,FC Baltika Kaliningrad,2025-10-19 16:00:00,0.3486860273760243,0.4181906450209064,0.2331143235326744,0.603133716217235,0.5027669467327053,0.03264565622978949,0.014815271930875713,0-0,0.30323842735423556,Contender,Russian Premier League,2025-2026
2025-10-19,18:30,Dynamo Mosc,Akhmat Grozny,2025-10-19 18:30:00,0.44661814723447446,0.1709267268128173,0.3336918390259696,0.0726754657788893,0.049952881591229334,0.530679321442778,0.44690980608853237,2-2,0.05677000506011406,Contender,Russian Premier League,2025-2026
2025-10-25,13:00,Spartak Moscow,Orenburg,2025-10-25 13:00:00,0.44371284740850564,0.022558380959043525,0.013991538661689616,0.11318729364198316,0.0011180961231300921,0.44573153826373635,0.08506298069522071,6-1,0.052110733929411075,Contender,Russian Premier League,2025-2026
2025-10-25,15:30,Rostov,D'mo Makhachkala,2025-10-25 15:30:00,0.6751541764466481,0.308068847617254,0.016542283784951185,0.9472745753557897,0.3052895989175502,0.11736266647763156,2.510342717936538e-05,1-0,0.34320652603721874,Contender,Russian Premier League,2025-2026
2025-10-25,18:00,CSKA Moscow,Samara,2025-10-25 18:00:00,0.7382905425984216,0.09335511038496455,0.06992183757191349,0.267988238655148,0.02072116340245702,0.6448467094504732,0.11108175292510024,3-1,0.07255520706805717,Contender,Russian Premier League,2025-2026
2025-10-26,11:00,FK Akron Tolyatti,Loko Moscow,2025-10-26 11:00:00,0.13077111467149283,0.13048102531052896,0.6756241741832492,0.031447793360645376,0.20165663986274934,0.18705433239835573,0.6086087011633758,1-3,0.0717246283508122,Contender,Russian Premier League,2025-2026
2025-10-26,13:15,Nizhny Novgorod,FC Baltika Kaliningrad,2025-10-26 13:15:00,0.15581242740730375,0.20745172351990115,0.6321394987150929,0.13503173499102286,0.4155043316107194,0.058291938126209274,0.3193496353172736,0-2,0.11297989400041049,Contender,Russian Premier League,2025-2026
2025-10-26,15:30,Zenit,Dynamo Mosc,2025-10-26 15:30:00,0.6975375716788249,0.1069770948140267,0.096794835423525,0.2042712808205009,0.02077010488851595,0.6442827045833496,0.16832353591157972,3-1,0.06771627476416626,Contender,Russian Premier League,2025-2026
2025-10-26,17:45,Krasnodar,Rubin Kazan,2025-10-26 17:45:00,0.6592124713192854,0.1597513232916053,0.1554452123542409,0.25867424484716717,0.05970262906812827,0.509428630832139,0.1448911760609659,2-1,0.08348571023958422,Contender,Russian Premier League,2025-2026
2025-10-27,17:30,Akhmat Grozny,Sochi,2025-10-27 17:30:00,0.8778225406454144,0.06361428941895644,0.013728833726725174,0.7343372748950991,0.04061836300383099,0.5759992042307039,0.002378547255049045,3-0,0.17111042160050072,Contender,Russian Premier League,2025-2026
2025-10-31,17:00,CSKA Moscow,Nizhny Novgorod,2025-10-31 17:00:00,0.8005134169827114,0.020295997723288557,0.0037202906828870085,0.6468543359061184,0.010562176914775654,0.6565499931786365,0.0016392914777118297,4-0,0.1480367849777445,Contender,Russian Premier League,2025-2026
2025-11-01,15:45,D'mo Makhachkala,Samara,2025-11-01 15:45:00,0.5999532088945431,0.279311329031091,0.12019911114112024,0.640522231735936,0.25551629867518505,0.1574465024054394,0.010549089494839714,1-0,0.2234340529874436,Contender,Russian Premier League,2025-2026
2025-11-01,15:45,Rubin Kazan,Dynamo Mosc,2025-11-01 15:45:00,0.625262627096733,0.2296912900707018,0.14289195290159085,0.5016884386424617,0.1751701482240353,0.2517518174901922,0.03257562655782329,1-0,0.15341798630200465,Contender,Russian Premier League,2025-2026
2025-11-01,18:15,Zenit,Loko Moscow,2025-11-01 18:15:00,0.6076222141628818,0.08646893770128782,0.08760612640983048,0.10992594111268877,0.007860923233626839,0.6436377200096451,0.2432798700086382,4-1,0.049757464516292996,Contender,Russian Premier League,2025-2026
2025-11-01,18:15,Rostov,FK Akron Tolyatti,2025-11-01 18:15:00,0.5949139720241851,0.25592313196207717,0.14812005394305275,0.5401764788621417,0.21640974628288362,0.19782730012444957,0.024575171217403848,1-0,0.17911049868441883,Contender,Russian Premier League,2025-2026
2025-11-02,10:00,Orenburg,Sochi,2025-11-02 10:00:00,0.6032246049777181,0.24120765676774755,0.15395757737714444,0.49906998469689695,0.1915463182334476,0.22872049514746717,0.033282473454447965,1-0,0.1582367642298794,Contender,Russian Premier League,2025-2026
2025-11-02,15:00,FC Baltika Kaliningrad,Akhmat Grozny,2025-11-02 15:00:00,0.6244118783181459,0.2919871601484368,0.08322649271128,0.7470635923985276,0.27704611845077065,0.13874658943606752,0.0033131026421865583,1-0,0.2657616360267991,Contender,Russian Premier League,2025-2026
2025-11-02,17:30,Krasnodar,Spartak Moscow,2025-11-02 17:30:00,0.6223102762006598,0.14185194026585018,0.1709595221217995,0.14828802882822387,0.03138889814753595,0.6074689029351126,0.2610822004348601,3-1,0.06329116917043454,Contender,Russian Premier League,2025-2026
2025-11-08,12:00,Dynamo Mosc,FK Akron Tolyatti,2025-11-08 12:00:00,0.5524671111069936,0.11451535152912082,0.1503805484824035,0.07080829744759047,0.01072332431229819,0.6485013707691656,0.3582910813445073,4-2,0.04895054213217488,Contender,Russian Premier League,2025-2026
2025-11-08,14:30,Nizhny Novgorod,Rubin Kazan,2025-11-08 14:30:00,0.5402627862765799,0.16149983658305425,0.2464564799182103,0.10699718782444637,0.040322960910183024,0.5718101784235035,0.3506266672923046,3-2,0.0597375514305278,Contender,Russian Premier League,2025-2026
2025-11-08,14:30,D'mo Makhachkala,CSKA Moscow,2025-11-08 14:30:00,0.3263067098578899,0.42739476461853493,0.24629225811481706,0.5968257298293874,0.5269191085646125,0.02732227549012426,0.015638530378882933,0-0,0.31448085251017444,Contender,Russian Premier League,2025-2026
2025-11-08,17:00,Sochi,Rostov,2025-11-08 17:00:00,0.17874800707250307,0.2814605851519171,0.539262173308665,0.2568967442121081,0.5211343283700707,0.028456918420479156,0.15617675774021117,0-1,0.1820462583707265,Contender,Russian Premier League,2025-2026
2025-11-09,11:00,Samara,Zenit,2025-11-09 11:00:00,0.22520008565439148,0.2278213030429478,0.5439298264974033,0.15872792742431677,0.3318380010224427,0.09918729592186694,0.2772823178819426,1-1,0.10697799245929547,Contender,Russian Premier League,2025-2026
2025-11-09,13:15,Loko Moscow,Orenburg,2025-11-09 13:15:00,0.40074376320419286,0.030090525391474693,0.02252884951429479,0.06851683049530957,0.0009409263687583917,0.42304395265368205,0.13238106788005372,6-1,0.042692244590390706,Contender,Russian Premier League,2025-2026
2025-11-09,15:30,Akhmat Grozny,Spartak Moscow,2025-11-09 15:30:00,0.7399803639105837,0.08998620087960754,0.0661389253495841,0.2702666875708518,0.019607151243655974,0.6478712250429673,0.10758141191223793,3-1,0.0718109703764892,Contender,Russian Premier League,2025-2026
2025-11-09,17:45,FC Baltika Kaliningrad,Krasnodar,2025-11-09 17:45:00,0.1944645039878212,0.5547242191037056,0.25081102394927046,0.674919966422287,0.7282449544306898,0.004198036629561281,0.0075643937688085645,0-0,0.4915071845228265,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Orenburg,FC Baltika Kaliningrad,,0.06816052402853928,0.17362517156233362,0.7526349879393766,0.124902974749127,0.6336185047817722,0.01086401495629374,0.33944571582982974,0-2,0.17219399306163846,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,FK Akron Tolyatti,Sochi,,0.646116138698327,0.2230473635783013,0.12841652974887593,0.5257890324895698,0.16868087011229024,0.2615441113748181,0.027227255310647642,1-0,0.15822917998743133,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Samara,Rostov,,0.30710059162592523,0.29850187022171787,0.39415417663467245,0.3221851967604688,0.38180091543538575,0.07348724889554001,0.10604318289969862,0-1,0.13935115587857005,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Rubin Kazan,Akhmat Grozny,,0.7426812251893758,0.1861787702622765,0.06719667040636214,0.6646879302223074,0.14251926969182058,0.3053839086041156,0.008136640608438673,1-0,0.18529266175918066,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Spartak Moscow,CSKA Moscow,,0.47966886542362097,0.2346009237444812,0.28316173856354143,0.27458395238196504,0.1741620668843619,0.25305311118274443,0.13997005304893886,1-1,0.10810073486660138,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Dynamo Mosc,D'mo Makhachkala,,0.8797801111573532,0.04627164464348982,0.008231262106813247,0.7529909051856912,0.030030198636452454,0.6144614500007924,0.0013309205769114914,3-0,0.17377503675550646,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Loko Moscow,Krasnodar,,0.16399245944481644,0.2517199335296314,0.5830671882880187,0.2074939565046081,0.4977094871752762,0.03367085224864916,0.20838327773758475,0-1,0.16260813364856755,Contender,Russian Premier League,2025-2026
2025-11-23,à venir,Nizhny Novgorod,Zenit,,0.25570757570481656,0.23677289591788753,0.5052089380952933,0.17631935382178468,0.311291720505903,0.11254906905917952,0.24995585132436052,1-1,0.11120659899600469,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,Zenit,Rubin Kazan,,0.6124658568839322,0.03543417179058035,0.021214524161344613,0.20278660101835314,0.003674162514611203,0.5871041279728039,0.07963084849071403,5-1,0.061358418716180564,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,Sochi,D'mo Makhachkala,,0.7925285589970845,0.1761557335228161,0.02823820352951956,0.8411656412896941,0.1555731839453937,0.2825883390195755,0.0007175840954074773,1-0,0.24424011370882043,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,FC Baltika Kaliningrad,Spartak Moscow,,0.7193775484158194,0.1863591192433959,0.08924485662305892,0.5721425929350443,0.1302089079725811,0.32875657184201984,0.018660661638975708,2-0,0.15558568032848874,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,Rostov,Loko Moscow,,0.29257346202862755,0.26063728513968826,0.4458358384919975,0.23309136877465197,0.3236957943126715,0.10486106234539136,0.17941761468258638,1-1,0.12395773113986479,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,Akhmat Grozny,Dynamo Mosc,,0.6243818486121192,0.19508757558027434,0.1727067667916638,0.3394510161687873,0.1093196349902376,0.3731194524918112,0.09329623739124647,2-1,0.098273192640762,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,Krasnodar,Samara,,0.6954747290831673,0.1462724037688797,0.1271327293877196,0.2879966397081965,0.05253476154304885,0.533602859213568,0.11937528204919394,2-1,0.0822297117172924,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,FK Akron Tolyatti,Nizhny Novgorod,,0.78493070941621,0.15581222462804684,0.052067006747026114,0.6760567456054841,0.11256453340109103,0.3658642904301249,0.007057545901889603,2-0,0.18284568630597228,Contender,Russian Premier League,2025-2026
2025-11-30,à venir,CSKA Moscow,Orenburg,,0.40179784269912977,0.02172466987815332,0.014015754981458533,0.090459276080261,0.0008419820130521758,0.40964237064152337,0.09182564277261626,6-1,0.047976695608870315,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,Akhmat Grozny,Orenburg,,0.5549881289416078,0.021717647736772032,0.01094031842517865,0.21078698042270796,0.002207407288750353,0.5306561668014985,0.0499138145274333,6-1,0.05900606663264089,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,D'mo Makhachkala,Nizhny Novgorod,,0.7686499592893793,0.21161275449491215,0.018393189434200447,0.9136277332807321,0.20153998005221624,0.21575428615295766,0.00010972999618713561,1-0,0.2953344374510507,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,Zenit,FK Akron Tolyatti,,0.4973452933091643,0.012377534399711733,0.005085618692747941,0.22448620202964586,0.0013954285702835229,0.47408044436704044,0.026671631668738198,6-0,0.06825058737367833,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,Krasnodar,CSKA Moscow,,0.3672802646700038,0.25325617211762386,0.37824121566355445,0.24458446730338254,0.2505774895801637,0.1618072683264454,0.16760570225818378,1-1,0.11948573144638577,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,Rostov,Rubin Kazan,,0.4629827473636029,0.2836454233613278,0.2529198380585216,0.41275923202724163,0.2711229592848253,0.1436550716657985,0.0602615173579471,1-0,0.14612274737308786,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,Spartak Moscow,Dynamo Mosc,,0.5707415289479398,0.18831157156710726,0.22690174113237407,0.21741382922295616,0.0854134365607346,0.43219331137494343,0.19086535368294097,2-1,0.08616243840900778,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,Sochi,Loko Moscow,,0.08443838783391368,0.08838985706492468,0.6450260635508169,0.0101608996724278,0.13996687119907023,0.21182232775994025,0.6541966373741208,1-4,0.05669246627347231,Contender,Russian Premier League,2025-2026
2025-12-07,à venir,FC Baltika Kaliningrad,Samara,,0.7136092276372821,0.21286623901252227,0.07141461355416309,0.6933987171635531,0.17611879465153027,0.2503573818387165,0.006121945451422227,1-0,0.21252250888607832,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Dynamo Mosc,Samara,,0.4313382921739862,0.14258469717394956,0.2706097218578735,0.03484317218975324,0.016918421459483336,0.6219300151430357,0.5145191327574443,4-3,0.04338087477587929,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Sochi,Spartak Moscow,,0.21392977360784046,0.14034013381539673,0.5347303692801255,0.020486446613276362,0.07317556566381245,0.4011688017123772,0.6354837061319808,2-3,0.051523654574224684,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Loko Moscow,Nizhny Novgorod,,0.8050919592523844,0.023737680898535167,0.005071369492768414,0.623210456854895,0.01135987033157514,0.6577954747228129,0.00276383460826288,4-0,0.1421968644623353,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,D'mo Makhachkala,Rubin Kazan,,0.5708558786614716,0.29055743973149517,0.13817278060975954,0.6145433093185714,0.2711332910876788,0.14366054599332606,0.01337577521764421,1-0,0.21755723378090883,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Krasnodar,Rostov,,0.3937277404920523,0.3566777820818151,0.24954671413170082,0.5234984630026168,0.40794714824262,0.0622575379627144,0.028025522686484686,0-0,0.21356990589360922,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Akhmat Grozny,CSKA Moscow,,0.5263101404064312,0.2532461492092046,0.2191838638488868,0.4000516669391195,0.2074857654783345,0.20837505160448838,0.06521364243880196,1-0,0.13070205933418264,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Orenburg,FK Akron Tolyatti,,0.45952494290253115,0.21875826035049065,0.31663931107084203,0.20498746627516923,0.1438018960628828,0.3023545033856385,0.20967886875278657,1-1,0.09078086537252404,Contender,Russian Premier League,2025-2026
2026-03-01,à venir,Zenit,FC Baltika Kaliningrad,,0.4724776572002851,0.2553090497225693,0.2710382059024188,0.335159918089271,0.21673012050811383,0.19739614109323747,0.09775721624054706,1-1,0.12143563049894589,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,CSKA Moscow,Dynamo Mosc,,0.5590820477496614,0.18452172872847808,0.23885089835358228,0.1889228789291272,0.07704697603422696,0.45521995945056776,0.22448461320800656,2-1,0.08022973698377009,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Rubin Kazan,Krasnodar,,0.24919658130700947,0.45838307685315516,0.2924177766253634,0.5792287019681079,0.6179541534636778,0.013011597123297459,0.018120052808354017,0-0,0.35793770037353617,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Samara,D'mo Makhachkala,,0.8881507902538893,0.0792521255457366,0.010144186008411472,0.8485051180977822,0.0638952754188206,0.4962136349972193,0.0004158678228402293,2-0,0.20978862477897162,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Spartak Moscow,FK Akron Tolyatti,,0.7779734426214147,0.06060735691106131,0.03177910936661581,0.3737394410228411,0.01538545728555375,0.6567065749377969,0.047120798374336456,4-0,0.08358054177917662,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Orenburg,Zenit,,0.117558986592996,0.21822508601729254,0.6616207898534728,0.1648270514836382,0.5468684947933393,0.023145937136451376,0.2675509030532932,0-1,0.16292988837883376,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Nizhny Novgorod,Sochi,,0.8133643883781022,0.09569007301536547,0.046104964280610436,0.4900373839380877,0.04061809772827607,0.5759954424220729,0.02893163452800299,3-0,0.11418527457649588,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Loko Moscow,Akhmat Grozny,,0.6918048917100101,0.15250133347999853,0.13028513594124508,0.30408483706616735,0.05963677345055793,0.5098168421366612,0.10994338452429357,2-1,0.08614444422890684,Contender,Russian Premier League,2025-2026
2026-03-08,à venir,Rostov,FC Baltika Kaliningrad,,0.15229364483195867,0.4084501341103883,0.43923385744993526,0.44531490619880293,0.7004932193071955,0.005769051234471803,0.04869925622011211,0-0,0.3119470485101029,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,Sochi,Krasnodar,,0.03296939608933791,0.10364275738529895,0.8408725274829574,0.06379196733481521,0.6613271318188342,0.00727095676904447,0.4965422694929565,0-2,0.16344798721835307,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,Rubin Kazan,Loko Moscow,,0.6558473868902842,0.19196877188249098,0.14506154347723588,0.3996378821765998,0.11332069288839684,0.3641505054785788,0.06402663375319102,2-0,0.10813374565431584,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,Nizhny Novgorod,Samara,,0.5865330053298591,0.15149977538329332,0.20337149708675636,0.12770643648430804,0.034954043917523006,0.5933475016059958,0.3020253270214121,3-2,0.05950804377804087,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,Zenit,Spartak Moscow,,0.4229063242453571,0.026136653111387468,0.017880711541353674,0.08892522797674252,0.001026127623069963,0.4345496519695355,0.10785818730683731,6-1,0.04779816746290402,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,FK Akron Tolyatti,Akhmat Grozny,,0.34028957597202475,0.24626370896001196,0.4118220302340108,0.21489390684156287,0.25250613548910394,0.1598231477483082,0.19933306588903588,1-1,0.11488763830350227,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,FC Baltika Kaliningrad,CSKA Moscow,,0.4229378829673633,0.39885209698439167,0.17818628754315693,0.6555323898852768,0.4424421294314372,0.04964562646440608,0.009174382554810928,0-0,0.2900420299160718,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,Rostov,Dynamo Mosc,,0.29499317995709595,0.3062146034187963,0.39859930320399745,0.33278858580250065,0.40580408403547746,0.06308972648319286,0.09947142834066135,0-1,0.14860787428582733,Contender,Russian Premier League,2025-2026
2026-03-15,à venir,D'mo Makhachkala,Orenburg,,0.7782714490372356,0.14164931491286104,0.06612074056557878,0.5529596318317481,0.08277402805840184,0.4400831235707338,0.020740647600211923,2-0,0.14408950062589393,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,Dynamo Mosc,Zenit,,0.16878745619961338,0.16348826392967492,0.6425198192532027,0.06050255502365403,0.23999912901912931,0.16231876631124526,0.5066940915703988,1-2,0.08213891770433589,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,Orenburg,Spartak Moscow,,0.22770623213686852,0.1607040841319486,0.564570217858261,0.042137150250467235,0.12599940896438527,0.3122692224070398,0.5669691204414208,2-3,0.06037430674955971,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,Krasnodar,Nizhny Novgorod,,0.877753826743561,0.05020369911638426,0.00991690083321206,0.735774751930618,0.03148129664816907,0.6092570898140731,0.0018646381625715082,3-0,0.1702600558476973,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,Loko Moscow,FK Akron Tolyatti,,0.7418827090184675,0.0703499805123507,0.045956121855924896,0.28380937398746253,0.013859073076585146,0.6581728699947752,0.0864993972604388,4-1,0.07083022794169727,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,Samara,Rubin Kazan,,0.4974891721271542,0.16966204720507813,0.28855877150935066,0.09468611606799861,0.04805410951032915,0.5423211475788796,0.38598130916738055,3-2,0.059232424237489326,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,CSKA Moscow,D'mo Makhachkala,,0.9002293476641308,0.04094403070597123,0.003046326427920153,0.8708428436311877,0.034364787286109255,0.5987982935094093,7.84202512928966e-05,3-0,0.20230111589113345,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,Akhmat Grozny,Rostov,,0.4995715476802353,0.34995233880887316,0.15038219945269188,0.6565477777090708,0.3608449498909397,0.08379308571533195,0.009079472526925678,1-0,0.24150859386837895,Contender,Russian Premier League,2025-2026
2026-03-22,à venir,FC Baltika Kaliningrad,Sochi,,0.770548095531598,0.20388405450368324,0.023919590644872153,0.8842675159796934,0.1899314184365778,0.23089473349493417,0.00027152176267215415,1-0,0.27944133635286017,Contender,Russian Premier League,2025-2026
2026-04-05,à venir,D'mo Makhachkala,FC Baltika Kaliningrad,,0.20660316109245336,0.5228963128315537,0.2704999561675077,0.6408655955571434,0.7005084859871497,0.005769176966251082,0.010554744529902885,0-0,0.4489320439151686,Contender,Russian Premier League,2025-2026
