Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,20:30,Virtus Entella,Sampdoria,2025-10-17 20:30:00,0.47182844793851897,0.2990126356414698,0.22886545055974958,0.470145254476882,0.2947819127540432,0.12492865400988543,0.04107095383872065,1-0,0.16933848285103134,Contender,Serie B,2025-2026
2025-10-18,15:00,Mantova,Südtirol,2025-10-18 15:00:00,0.4451339770677137,0.22767857670131986,0.3236955858294708,0.22152502624541792,0.1655200768603344,0.2659657597470718,0.1908941076998255,1-1,0.09953008327012489,Contender,Serie B,2025-2026
2025-10-18,15:00,Reggiana,Bari,2025-10-18 15:00:00,0.45392775286453796,0.26971309105446506,0.2756594258103682,0.35986113377516415,0.24825408691438708,0.16424263978102818,0.08413978350100597,1-1,0.1272215338664217,Contender,Serie B,2025-2026
2025-10-18,15:00,Frosinone,Monza,2025-10-18 15:00:00,0.380526431191558,0.33094333073757476,0.28844190703388106,0.44957157562034394,0.38023995454505566,0.07425134892388134,0.04731143860602799,0-0,0.17096017656830825,Contender,Serie B,2025-2026
2025-10-18,15:00,Pescara,Carrarese,2025-10-18 15:00:00,0.6174905380964892,0.2547789526770292,0.12671940400339413,0.5892728897981674,0.21807671516025262,0.19591490925851923,0.016569910386898316,1-0,0.19590181721077699,Contender,Serie B,2025-2026
2025-10-18,17:15,Juve Stabia,Avellino,2025-10-18 17:15:00,0.46838728720000605,0.28176322557070654,0.24936547988641508,0.41377671330816806,0.2665429945019104,0.14757438704277448,0.05985809343535606,1-0,0.1458930595512199,Contender,Serie B,2025-2026
2025-10-18,19:30,Spezia,Cesena,2025-10-18 19:30:00,0.6256369807743644,0.19328265535039485,0.17273082737262874,0.33382985468746135,0.10628988875219485,0.3801133551839329,0.0964162217047046,2-1,0.09787334898768665,Contender,Serie B,2025-2026
2025-10-19,15:00,Palermo,Modena,2025-10-19 15:00:00,0.5140616005839759,0.25549211218314405,0.2292720071852512,0.38958005227892295,0.2121990490975013,0.20272037004575277,0.06973811637608811,1-0,0.12830117192654247,Contender,Serie B,2025-2026
2025-10-19,17:15,Empoli,Venezia,2025-10-19 17:15:00,0.27656698882298425,0.5230911219892227,0.2003412812569606,0.7071792267599983,0.6359812355921138,0.011046513061158645,0.005357772631471912,0-0,0.44975299183861,Contender,Serie B,2025-2026
2025-10-19,19:30,Catanzaro,Padova,2025-10-19 19:30:00,0.43543076351692567,0.3620379667125012,0.20247745043702312,0.5880652077582642,0.3955264546445299,0.06741434915308361,0.01683406665446941,0-0,0.23260786552472612,Contender,Serie B,2025-2026
2025-10-24,20:30,Modena,Empoli,2025-10-24 20:30:00,0.6530713593215635,0.21685316380903383,0.12720300278183175,0.5156147371199804,0.15938081413091978,0.27629077027674676,0.029312777408414845,1-0,0.1513527905482428,Contender,Serie B,2025-2026
2025-10-25,15:00,Monza,Reggiana,2025-10-25 15:00:00,0.41664401432101217,0.4152323751381954,0.16810679847688906,0.6821138957211669,0.46182348342439966,0.04354380381735926,0.0070223652439183794,0-0,0.31502151157592057,Contender,Serie B,2025-2026
2025-10-25,15:00,Virtus Entella,Pescara,2025-10-25 15:00:00,0.5284723129687253,0.3473367569428741,0.12408276179229182,0.7023869129505931,0.3521933195754431,0.08838055136948506,0.005645755358197393,1-0,0.2581833018659141,Contender,Serie B,2025-2026
2025-10-25,15:00,Avellino,Spezia,2025-10-25 15:00:00,0.32935154425613156,0.47709014142930845,0.19355581330958455,0.6896439125899174,0.5655175193938143,0.02025436381873087,0.006487892267986288,0-0,0.39000669012156713,Contender,Serie B,2025-2026
2025-10-25,15:00,Sampdoria,Frosinone,2025-10-25 15:00:00,0.39039532974292507,0.3478005406082013,0.26174563893320335,0.49927454850878633,0.3981746456524393,0.06628404052437836,0.03347164187990881,0-0,0.19881009498050553,Contender,Serie B,2025-2026
2025-10-25,15:00,Südtirol,Cesena,2025-10-25 15:00:00,0.445952312188104,0.23605430450629641,0.31553430324547055,0.247972533639882,0.1831212897076783,0.23998416591531344,0.16380355302445268,1-1,0.10757567284387126,Contender,Serie B,2025-2026
2025-10-25,17:15,Carrarese,Venezia,2025-10-25 17:15:00,0.37985226121538496,0.4035789524038712,0.2165532356614309,0.609619261611816,0.4691213817502894,0.041411771063514444,0.014003281869990895,0-0,0.2859898776972407,Contender,Serie B,2025-2026
2025-10-25,19:30,Catanzaro,Palermo,2025-10-25 19:30:00,0.4420251045691538,0.23869245556475938,0.31707264591725665,0.25287816693693455,0.18961064926733912,0.231057037007811,0.15924139075414873,1-1,0.10968722942703436,Contender,Serie B,2025-2026
2025-10-26,15:00,Padova,Juve Stabia,2025-10-26 15:00:00,0.4161347575909802,0.34562230811634714,0.23817258451800558,0.5234426218976637,0.3826798378971727,0.07312481339696117,0.02803410493585328,0-0,0.200325030517026,Contender,Serie B,2025-2026
2025-10-26,17:15,Bari,Mantova,2025-10-26 17:15:00,0.6274264058380682,0.19873702052684805,0.1672041062236651,0.36318306313140986,0.1170570959612059,0.3559290913817932,0.08084098062144028,2-1,0.0990740048292326,Contender,Serie B,2025-2026
2025-10-28,20:30,Pescara,Avellino,2025-10-28 20:30:00,0.4431619000912227,0.3255562820994525,0.23115051779438409,0.5062346380095302,0.34395724149665513,0.09294942539359832,0.03181620776020173,1-0,0.1858538540539023,Contender,Serie B,2025-2026
2025-10-28,20:30,Frosinone,Virtus Entella,2025-10-28 20:30:00,0.522162060993662,0.3335669664706229,0.14412838638438843,0.6518487239402241,0.33561435040682125,0.09779407704841732,0.009498974629916017,1-0,0.23888520479521586,Contender,Serie B,2025-2026
2025-10-28,20:30,Cesena,Carrarese,2025-10-28 20:30:00,0.6291199696000592,0.2066648191929571,0.15939312055307928,0.40452719678441024,0.1326542538593054,0.3239346130307067,0.06255360918927295,2-0,0.11000847746383455,Contender,Serie B,2025-2026
2025-10-28,20:30,Reggiana,Modena,2025-10-28 20:30:00,0.3891972092442538,0.25412663465465896,0.35549349489298626,0.259499102661437,0.24093966629159616,0.17124771995606924,0.15355081864466383,1-1,0.12007888219249273,Contender,Serie B,2025-2026
2025-10-28,20:30,Empoli,Sampdoria,2025-10-28 20:30:00,0.44901713700633755,0.29745882041136995,0.2532354368722961,0.43627764552905896,0.2984760788763816,0.1222132959582988,0.051675031928976455,1-0,0.15748468762154025,Contender,Serie B,2025-2026
2025-10-28,20:30,Palermo,Monza,2025-10-28 20:30:00,0.48134477428763034,0.3407921901819305,0.17775611758855803,0.6017690117592331,0.35346564151288956,0.08769211191291083,0.014981397542456643,1-0,0.22122967884133884,Contender,Serie B,2025-2026
2025-10-29,20:30,Mantova,Catanzaro,2025-10-29 20:30:00,0.441685769823953,0.25762776844947044,0.2996256857800204,0.31052436333819056,0.22833717622173488,0.18444569616412473,0.11347509503563502,1-1,0.12249366407266166,Contender,Serie B,2025-2026
