Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-17,18:00,HNK Vukovar '91,Lokomotiva,2025-10-17 18:00:00,0.47163577441471194,0.21127984140663492,0.310122528068708,0.19109289752494063,0.12646044509501567,0.3353286703644856,0.22672124924636394,2-1,0.08569234873851911,Contender,SuperSport HNL,2025-2026
2025-10-18,15:30,Slaven Belupo,Rijeka,2025-10-18 15:30:00,0.4641990293917215,0.21157599539277464,0.3172791967571451,0.18629242799747742,0.127926260989867,0.33228889115674326,0.23329045450864683,2-1,0.08485169590212362,Contender,SuperSport HNL,2025-2026
2025-10-18,18:00,Dinamo Zagreb,Osijek,2025-10-18 18:00:00,0.7613174053381102,0.0929742545510312,0.06293787841755655,0.31850739714913406,0.024482984594341183,0.6334608180192756,0.08359024859836169,3-1,0.0765195494787408,Contender,SuperSport HNL,2025-2026
2025-10-19,16:00,Istra 1961,Hajduk Split,2025-10-19 16:00:00,0.552548292324296,0.2590766585148872,0.18735455767776638,0.46584578404484356,0.21833597675741134,0.19561278390264805,0.04217914723317974,1-0,0.15493206903211737,Contender,SuperSport HNL,2025-2026
2025-10-19,18:15,Gorica,Varaždin,2025-10-19 18:15:00,0.43801500282242695,0.32214698689047455,0.23969761455851832,0.49068074159986197,0.3408075424457435,0.0947512798713094,0.03558225132311629,1-0,0.18003376265005822,Contender,SuperSport HNL,2025-2026
2025-10-24,18:00,Gorica,Hajduk Split,2025-10-24 18:00:00,0.3110478999876863,0.2776893240563521,0.41076177261580565,0.2776409807979443,0.3406846273951072,0.0947171070408618,0.1382134919606165,1-1,0.13052327362774158,Contender,SuperSport HNL,2025-2026
2025-10-25,15:45,Lokomotiva,Istra 1961,2025-10-25 15:45:00,0.6104206798585041,0.2500562667414069,0.138332099182756,0.5526786875729097,0.20864357065504163,0.20699312052961216,0.022282493017934505,1-0,0.18092511666633815,Contender,SuperSport HNL,2025-2026
2025-10-25,18:00,Varaždin,Slaven Belupo,2025-10-25 18:00:00,0.7507804783961137,0.14467744091658047,0.08656343515981028,0.45274338416808274,0.07247771657679174,0.4697233125553743,0.04299619853585156,2-0,0.11507615774887313,Contender,SuperSport HNL,2025-2026
2025-10-26,16:00,Rijeka,Osijek,2025-10-26 16:00:00,0.6351135878500872,0.2217427967240456,0.1404536456607157,0.4903954784828263,0.16300503476588166,0.27043829915193474,0.03524761955254961,1-0,0.14539386012248215,Contender,SuperSport HNL,2025-2026
2025-10-26,18:45,HNK Vukovar '91,Dinamo Zagreb,2025-10-26 18:45:00,0.262024490564467,0.2040994048304178,0.5254152511630583,0.11051424447819402,0.2182699540577177,0.1923728022792529,0.3698717746856476,1-2,0.08929608856892209,Contender,SuperSport HNL,2025-2026
2025-10-31,18:00,Dinamo Zagreb,Rijeka,2025-10-31 18:00:00,0.6790841404028461,0.1439401131641099,0.13764057728539106,0.24314656774398294,0.04502939093532595,0.5597001829451597,0.15361904601886994,3-1,0.0777726954316505,Contender,SuperSport HNL,2025-2026
2025-11-01,15:45,Istra 1961,HNK Vukovar '91,2025-11-01 15:45:00,0.8715521365919584,0.05405099929883759,0.012491739957676211,0.700872746751773,0.03157431393102241,0.6089217606687048,0.0031179268305567705,3-0,0.16220877082530671,Contender,SuperSport HNL,2025-2026
2025-11-01,18:00,Gorica,Lokomotiva,2025-11-01 18:00:00,0.426018183072728,0.22031910641877467,0.3487986940617771,0.18673871766791064,0.1541782487810299,0.2839922740795379,0.2337021440033253,1-1,0.09051507644335262,Contender,SuperSport HNL,2025-2026
2025-11-02,16:00,Slaven Belupo,Hajduk Split,2025-11-02 16:00:00,0.5287064521789836,0.23604399978758656,0.2329437996905605,0.3404166979046341,0.1743804482512341,0.25285984383668275,0.09434563633957553,1-1,0.11174393858936733,Contender,SuperSport HNL,2025-2026
2025-11-02,18:15,Osijek,Varaždin,2025-11-02 18:15:00,0.7287807480173074,0.191694996746684,0.07577259088479776,0.6388954988883919,0.1451167494030603,0.3006916263259785,0.010472278201511365,1-0,0.17963283531258514,Contender,SuperSport HNL,2025-2026
2025-11-07,18:00,Gorica,HNK Vukovar '91,2025-11-07 18:00:00,0.7927209761871888,0.1386192103043398,0.055962397413286305,0.60507734963596,0.08678699120539876,0.42912396086221755,0.013439325584048546,2-0,0.15888885852117804,Contender,SuperSport HNL,2025-2026
