Date,Time,Home,Away,Datetime,%Home,%Draw,%Away,%H_CS,%A_CS,%H_3GS,%A_3GS,S_P,%S_P,Sorare Competition,league,season
2025-10-18,16:30,NEC Nijmegen,Twente,2025-10-18 16:30:00,0.4947130422010696,0.17417894191917357,0.29458165691717375,0.10288969128198916,0.05485219107052299,0.52000886321305,0.37024534242714185,2-2,0.061860547493592134,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-18,18:45,PSV Eindhoven,Go Ahead Eag,2025-10-18 18:45:00,0.6777975048708673,0.07529931803465224,0.061235539790879284,0.18386470240791847,0.009820446842112371,0.6542031773819195,0.15284197648850664,4-1,0.06280556686666156,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-18,18:45,Utrecht,Volendam,2025-10-18 18:45:00,0.7218490288370755,0.2087269534895607,0.06717718798418633,0.7034755678035445,0.17264548598417842,0.25551790361781707,0.005473790533603215,1-0,0.21381244019605355,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-18,21:00,NAC Breda,Zwolle,2025-10-18 21:00:00,0.5084307461783883,0.2281198686432665,0.2602265420077455,0.2844502561999579,0.15875779831087516,0.2771378223787218,0.1317854563049248,1-1,0.10456167929506752,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-18,21:00,Ajax,AZ Alkmaar,2025-10-18 21:00:00,0.6383290603025757,0.190068765852634,0.1628696047773935,0.3471183107734258,0.10402603788260444,0.3854622552973361,0.088731114552935,2-1,0.09788640848399165,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-19,12:15,Telstar,Heerenveen,2025-10-19 12:15:00,0.7377865490050441,0.08785833899386596,0.06454551043464825,0.26577906087941744,0.018505359735726215,0.6505974897364395,0.10882318757197658,3-1,0.07068958673715015,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-19,14:30,Groningen,Sparta R'dam,2025-10-19 14:30:00,0.6595030514269754,0.2180991157554108,0.11975584263008636,0.5400534871807577,0.1638638907960666,0.2690746316743857,0.024396003680434528,1-0,0.16048674791506348,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-19,14:30,Excelsior,Fortuna Sittard,2025-10-19 14:30:00,0.3268745699706454,0.3485055228618676,0.32457208284346034,0.44210083012090695,0.4403101940670706,0.05035315742176783,0.049754352089465596,0-0,0.19467081230775593,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-19,16:45,Heracles Almelo,Feyenoord,2025-10-19 16:45:00,0.20900324073334378,0.16898994038344298,0.5937632348003711,0.05770267636629895,0.18141516764852633,0.2295143848675696,0.5151019076028317,1-2,0.07353802306269064,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-24,20:00,Heerenveen,NAC Breda,2025-10-24 20:00:00,0.7946086158804188,0.10398513250722184,0.05722668984140439,0.440535212645589,0.041069251760059114,0.5743512142790561,0.04188760044968942,3-0,0.10264879605631608,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-25,16:30,Fortuna Sittard,Groningen,2025-10-25 16:30:00,0.5872388074936905,0.22617675181504887,0.18373314694640094,0.4011216607320545,0.16054646340775744,0.2743725987946986,0.06439942791077523,1-0,0.11813004142431018,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-25,18:45,Sparta R'dam,Telstar,2025-10-25 18:45:00,0.24263086957594493,0.2440986305180436,0.5115198041941177,0.190486806145322,0.34561353756399543,0.09154915553673383,0.23008788679801018,1-1,0.11599761109505795,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-25,20:00,Volendam,Heracles Almelo,2025-10-25 20:00:00,0.6838195923843371,0.21124827529694926,0.10211201455895487,0.5810862424994178,0.1602902012291844,0.2748123980173134,0.017554578923308826,1-0,0.17100440523796398,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-25,21:00,Zwolle,NEC Nijmegen,2025-10-25 21:00:00,0.35303080830448125,0.24939942127244102,0.3961411194619565,0.22786232650595953,0.250903750802554,0.16141474328698097,0.18480112606157734,1-1,0.1169658087712873,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-26,12:15,Twente,Ajax,2025-10-26 12:15:00,0.44001363408416094,0.1986217104257421,0.3482903066733527,0.13378237837021653,0.10397989273358756,0.3827538154949174,0.3168250791037781,2-2,0.07213938259768525,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-26,14:30,Feyenoord,PSV Eindhoven,2025-10-26 14:30:00,0.4134852517296699,0.19069481127717716,0.3761976589097846,0.10256479837421471,0.09208165810564013,0.4094808484506721,0.38202344192797516,2-2,0.0698432902723672,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-26,16:45,AZ Alkmaar,Utrecht,2025-10-26 16:45:00,0.4549867761326863,0.20411921094050017,0.3309964417783111,0.157664748491354,0.11338261626524035,0.362256913119353,0.2753320065853164,2-1,0.07852324875991133,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-26,20:00,Go Ahead Eag,Excelsior,2025-10-26 20:00:00,0.6914151054356856,0.17870265184768214,0.12097578891348262,0.43261128078233985,0.10267057941591735,0.38875037120008427,0.0511971311772722,2-0,0.11609712481004426,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-10-31,20:00,PSV Eindhoven,Fortuna Sittard,2025-10-31 20:00:00,0.7303886763532846,0.07299585658567057,0.05050309787981111,0.2605550651847088,0.013373557655613877,0.6583585318612067,0.10037077907717039,4-1,0.06993319540083355,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-01,16:30,Ajax,Heerenveen,2025-11-01 16:30:00,0.8001828019571444,0.03705054347615862,0.012514682584532697,0.5116079727358398,0.012904014960507651,0.6586085466767259,0.012705852249387741,4-0,0.11593215542234116,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-01,18:45,NAC Breda,Go Ahead Eag,2025-11-01 18:45:00,0.4332874558042279,0.2179480791248267,0.3433805277297131,0.18429929009915286,0.14714989318706123,0.2960720053465572,0.23685281087637391,1-1,0.08809531376608527,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-01,20:00,Feyenoord,Volendam,2025-11-01 20:00:00,0.8325438139701578,0.13060513788491418,0.02787105499107096,0.7807114578074057,0.10216274488862129,0.389986569198836,0.0018764163574187581,2-0,0.20940783080790218,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-01,21:00,Telstar,Excelsior,2025-11-01 21:00:00,0.6304340595007762,0.17596255865911206,0.17707700161089504,0.266754798653103,0.07678689318021499,0.45677106757388997,0.14135168506849724,2-1,0.08951435351184725,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-02,12:15,Heracles Almelo,Zwolle,2025-11-02 12:15:00,0.5968052462724629,0.1772751124374642,0.20637560513747807,0.21417855037274322,0.07112568161046502,0.473104254660413,0.19211077089437736,2-1,0.08256279840795706,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-02,14:30,Groningen,Twente,2025-11-02 14:30:00,0.6271610483053246,0.20032995558750658,0.1662709013483788,0.37006747429006903,0.12000636473394796,0.3496138491960296,0.07752946030097192,2-0,0.10043825836259876,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-02,14:30,Sparta R'dam,AZ Alkmaar,2025-11-02 14:30:00,0.1619078993335519,0.17137088148387244,0.6494111505041744,0.07460778513915836,0.28606696466401577,0.12557805525797094,0.46321239069336806,1-2,0.09028071919247901,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-02,16:45,Utrecht,NEC Nijmegen,2025-11-02 16:45:00,0.5548854101448529,0.20594513071304982,0.2320916032130788,0.2625711317642465,0.11648636068198781,0.3569377321050542,0.1485375390706936,2-1,0.09469006152397037,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-07,20:00,Twente,Telstar,2025-11-07 20:00:00,0.5284779432476454,0.2291305270129597,0.23939637277423562,0.3142321074639709,0.16068678675925196,0.2740635804693319,0.11035756119408734,1-1,0.1069174573474718,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-08,16:30,Excelsior,Heracles Almelo,2025-11-08 16:30:00,0.49914015257438876,0.34517258466392153,0.15558352800092035,0.6429714433873426,0.3549146900238429,0.08691429644935576,0.0103403195803647,1-0,0.23641175460194278,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-08,18:45,Volendam,NAC Breda,2025-11-08 18:45:00,0.61697292150321,0.23658017205500806,0.1446691002364114,0.5116667744927045,0.18587672477776054,0.2364351120013284,0.030339349407151127,1-0,0.16031814022671617,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-08,20:00,Fortuna Sittard,Heerenveen,2025-11-08 20:00:00,0.6834948327934033,0.19100487865139876,0.11959253250529503,0.47406232296201334,0.1221787610226466,0.34507863009217404,0.03900980714594996,2-0,0.128749701039695,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-08,21:00,Zwolle,Sparta R'dam,2025-11-08 21:00:00,0.32678929466569107,0.2723398746069204,0.4002726326494621,0.2721395568015139,0.31719310707504383,0.10916595597639632,0.14274163675583856,1-1,0.12900784542739072,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-09,12:15,Utrecht,Ajax,2025-11-09 12:15:00,0.34945678633698374,0.21335896052709138,0.4305469967057878,0.1377389934483836,0.16947023092627864,0.2581019290624142,0.3128868771196062,1-1,0.08239091382585377,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-09,14:30,NEC Nijmegen,Groningen,2025-11-09 14:30:00,0.7307610435394718,0.09693826174116497,0.0756332702698951,0.25508536230846834,0.021114286844283875,0.6436802958066814,0.12156205463960601,3-1,0.0721443274793878,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-09,16:45,AZ Alkmaar,PSV Eindhoven,2025-11-09 16:45:00,0.28237562882163797,0.1693018868670129,0.5045297072686349,0.04786234477620384,0.09824201193821068,0.3771294957458469,0.5435474614296728,2-3,0.05951992913614613,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-09,20:00,Go Ahead Eag,Feyenoord,2025-11-09 20:00:00,0.3156654754512088,0.2030262242011357,0.4711698649247539,0.10934039261133507,0.1653763547602096,0.2626660800546742,0.37159045856075185,1-2,0.07999124038605525,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-22,16:30,NAC Breda,PSV Eindhoven,2025-11-22 16:30:00,0.12698313447066617,0.13924121356496222,0.6925322586601602,0.04344852599879413,0.2565177146558029,0.14082431517366278,0.5654532288076667,1-3,0.07878751837107739,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-22,18:45,Volendam,Twente,2025-11-22 18:45:00,0.34324016349048764,0.2668287440286933,0.38920446994525865,0.26666996392667774,0.2939541315193922,0.12539568224670847,0.1473720047645617,1-1,0.12687179093183643,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-22,18:45,Ajax,Excelsior,2025-11-22 18:45:00,0.8133557672254126,0.11377425840067262,0.04852297884459403,0.564183628406138,0.06090783581986095,0.5058166911948059,0.01782007600621339,2-0,0.1379066633318833,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-22,21:00,Heracles Almelo,Go Ahead Eag,2025-11-22 21:00:00,0.5105925392267634,0.17919084155010617,0.28278822102659634,0.1260937814512023,0.06364931076440297,0.4934005383295625,0.3237724563613173,2-2,0.06540528161873893,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-22,21:00,Sparta R'dam,Fortuna Sittard,2025-11-22 21:00:00,0.34734861043467397,0.20848912098946507,0.4358973355005657,0.12593163428158669,0.15872190899757813,0.27445941274103036,0.33564876598926857,1-2,0.07917847467016954,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-23,12:15,Heerenveen,AZ Alkmaar,2025-11-23 12:15:00,0.4677286979371939,0.22563085282961168,0.30289375021017595,0.23360334258432616,0.1571166934672519,0.27960458208890454,0.17769526578311517,1-1,0.0989039551576361,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-23,14:30,Telstar,Utrecht,2025-11-23 14:30:00,0.29228498985727874,0.17672534166804155,0.49895526946333124,0.05909374865320836,0.11160606030154017,0.3524115722020101,0.5068746360953084,2-2,0.06369559178583409,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-23,14:30,Feyenoord,NEC Nijmegen,2025-11-23 14:30:00,0.7407139695816553,0.1403223761232661,0.09484918003093368,0.39355022248609317,0.061321291324177,0.5044444955437307,0.06262064970248438,2-0,0.09635703740484418,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-23,16:45,Groningen,Zwolle,2025-11-23 16:45:00,0.7633126353253906,0.1423484235053799,0.07760206437572115,0.49040204435286555,0.075318987677892,0.46132137441046905,0.03304492938734132,2-0,0.1256084635082496,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-28,20:00,Zwolle,Heerenveen,2025-11-28 20:00:00,0.6225899307972016,0.20485127619977483,0.16718593313648603,0.3808936307457863,0.12736565074584294,0.3343988437312701,0.07262516548496122,2-0,0.10355358128278976,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-29,16:30,Excelsior,NAC Breda,2025-11-29 16:30:00,0.4399745039653748,0.3557416491087766,0.2042205378161175,0.5789750900030661,0.3859373125262292,0.07163962792086198,0.018151532547068368,0-0,0.22346223745072658,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-29,18:45,Fortuna Sittard,Heracles Almelo,2025-11-29 18:45:00,0.6946918307434757,0.19167070852147144,0.10842147067384444,0.5138376069589824,0.12831035129648616,0.33253426703788164,0.029366978561169606,2-0,0.13971158485283633,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-29,21:00,NEC Nijmegen,Sparta R'dam,2025-11-29 21:00:00,0.5970494632546157,0.1851476057756287,0.20384473085539667,0.24471941407929124,0.08456796463072627,0.43474031129997687,0.16229600893021975,2-1,0.08923242043741339,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-30,12:15,PSV Eindhoven,Volendam,2025-11-30 12:15:00,0.8717027458377269,0.07414213412997032,0.01770190362801454,0.7201025841679828,0.0470383428454539,0.5529593721895782,0.003193431661210184,3-0,0.16734782260157485,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-30,14:30,Go Ahead Eag,Utrecht,2025-11-30 14:30:00,0.4146725200692337,0.21516432150099069,0.3639949906386004,0.16597652883011887,0.1459224758263504,0.29785009029193715,0.26381963410786924,1-1,0.08395409567410932,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-30,14:30,Telstar,Feyenoord,2025-11-30 14:30:00,0.1923810916359252,0.14585974102500446,0.593474754187615,0.030639789013707962,0.12416323791764176,0.3033407741100757,0.6088283646462495,2-3,0.05855970888524794,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-30,16:45,Twente,AZ Alkmaar,2025-11-30 16:45:00,0.4523910055059898,0.20653550627375902,0.3321919787307999,0.1630271855645925,0.11885673427261481,0.35051604577309214,0.2670875144046649,2-1,0.07995336568171635,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-11-30,20:00,Ajax,Groningen,2025-11-30 20:00:00,0.8207061576583612,0.06304747615976881,0.02674529399013331,0.48785159809560724,0.02270828013918801,0.6391755152389,0.023260403789446184,3-0,0.10996293136589631,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-05,20:00,Excelsior,Groningen,2025-12-05 20:00:00,0.41293251744747805,0.3558201234650074,0.2311930506608067,0.5440375485306155,0.39740974666742107,0.06660951286085634,0.02397723959072166,0-0,0.21621756677499482,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-06,16:30,Heerenveen,PSV Eindhoven,2025-12-06 16:30:00,0.2870738437533794,0.18134054807855401,0.5063402413268208,0.06711823744160772,0.1286397251966268,0.31988585804741027,0.48266957191791443,2-2,0.06635182705733284,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-06,18:45,Fortuna Sittard,Ajax,2025-12-06 18:45:00,0.2608075544951514,0.2399267405773766,0.49720179605695947,0.1831616382482592,0.3124818424001739,0.11182650469924134,0.24012506385398755,1-1,0.11304394390040767,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-06,20:00,Heracles Almelo,Telstar,2025-12-06 20:00:00,0.4126871564390704,0.25214129538737956,0.33388435872817496,0.26999314353396225,0.2268113100016456,0.186006066451414,0.14430241635893054,1-1,0.11900140413505692,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-06,21:00,Feyenoord,Zwolle,2025-12-06 21:00:00,0.7770915709842914,0.10529966073363098,0.06557464219136379,0.3829475970149986,0.03631775439915795,0.5916395910575053,0.060559194364809936,3-0,0.08910938172717478,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-07,12:15,Utrecht,Twente,2025-12-07 12:15:00,0.43090095737915235,0.20662582496113183,0.3534212140103825,0.15080803176259977,0.12291420956929489,0.34157056627448606,0.287516885815535,2-1,0.07726792713229746,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-07,14:30,AZ Alkmaar,Go Ahead Eag,2025-12-07 14:30:00,0.6498352654208587,0.14185845881665912,0.15483852062140085,0.18556805587742892,0.03622926336722054,0.5909183581892883,0.21154485786105764,3-1,0.07042007310265856,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-07,14:30,Volendam,NEC Nijmegen,2025-12-07 14:30:00,0.4376039676594182,0.28708878170986923,0.27492239611436026,0.3935095171757103,0.2845008142297091,0.13275658371338367,0.06820621192680332,1-0,0.14077617369945095,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-07,16:45,Sparta R'dam,NAC Breda,2025-12-07 16:45:00,0.5392927262569053,0.20784902086299106,0.24596310462185045,0.2486730353272424,0.1187560285018904,0.3519697073223072,0.16134653107912136,2-1,0.093453833192841,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-13,16:30,Telstar,NEC Nijmegen,2025-12-13 16:30:00,0.5348190831620291,0.18119383318094193,0.26126859198087427,0.15228354727334484,0.06867555474348484,0.47912336835763747,0.2774041280952639,2-1,0.07130970371298873,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-13,18:45,Groningen,Volendam,2025-12-13 18:45:00,0.7744988083612357,0.19015875736027657,0.03293055980383638,0.8307120925752943,0.16875171422061302,0.2614376790399911,0.0008896314198464849,1-0,0.25003636252722317,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-13,20:00,PSV Eindhoven,Heracles Almelo,2025-12-13 20:00:00,0.6660643547340189,0.02049198112520684,0.007571000710754108,0.3651786651670874,0.0043033646652030095,0.6025060003050756,0.019083021383177627,5-0,0.09057729126523331,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-13,21:00,Zwolle,Fortuna Sittard,2025-12-13 21:00:00,0.38337751852112983,0.2352342657877162,0.3788260513001941,0.20509776994214313,0.20291837427456577,0.21343788429114222,0.21071468238610652,1-1,0.10526197024565577,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-14,12:15,Sparta R'dam,Heerenveen,2025-12-14 12:15:00,0.6111445760695392,0.1882019164560678,0.18937625408851716,0.2820258243257698,0.09318464163104978,0.41209232578827776,0.13081923833397846,2-1,0.09389059729393617,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-14,14:30,Twente,Go Ahead Eag,2025-12-14 14:30:00,0.6238437293824036,0.1441640296410999,0.17248222923179737,0.15469940002628424,0.03367165148062595,0.5994190685082494,0.25344409945998003,3-1,0.06491535764280207,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-14,14:30,Ajax,Feyenoord,2025-12-14 14:30:00,0.5369647243313461,0.20368283628145767,0.2510507475261066,0.23033174393020692,0.11039195376492505,0.37026266540067654,0.1792014626041857,2-1,0.09087392406171106,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-14,16:45,NAC Breda,Utrecht,2025-12-14 16:45:00,0.25073377564049965,0.2232932073132129,0.5221584203679934,0.14888565142804605,0.28406388680699596,0.13187765739729793,0.29384258615363407,1-1,0.10146531697774093,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-14,16:45,AZ Alkmaar,Excelsior,2025-12-14 16:45:00,0.7284366707943606,0.15378623081257864,0.10137536966233804,0.4199130512067436,0.07618802825809208,0.4587695973529422,0.05413261783031327,2-0,0.10779310803574203,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-19,20:00,Heracles Almelo,Heerenveen,2025-12-19 20:00:00,0.7629386160476103,0.11037749891842014,0.07446293533576145,0.35212669266857666,0.03623239957617163,0.5919273662379897,0.07434097117546808,3-0,0.08193286317181539,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-20,16:30,Volendam,Sparta R'dam,2025-12-20 16:30:00,0.4004786955367137,0.3189876176560127,0.28040093213236406,0.44012775463526504,0.3519945634395723,0.0884816977145193,0.050397644180085896,1-0,0.16177849429732663,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-20,18:45,Excelsior,Zwolle,2025-12-20 18:45:00,0.3478645127242364,0.3520965216910687,0.29999466252661156,0.4672517474551139,0.42969498867480765,0.054027881348749265,0.04194464374095776,0-0,0.20078462970412125,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-20,20:00,NEC Nijmegen,Ajax,2025-12-20 20:00:00,0.40990905152824203,0.18723092874180938,0.37957723198807714,0.09347141119567325,0.08544906086519913,0.4257050072958375,0.40323492791224735,2-2,0.06813812464904552,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-20,21:00,NAC Breda,Telstar,2025-12-20 21:00:00,0.3390414477771314,0.2985133259649699,0.3622119451976229,0.3401770999613217,0.35593140392687783,0.08633583110628114,0.09508902773356043,1-1,0.13487116896791196,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-21,12:15,Utrecht,PSV Eindhoven,2025-12-21 12:15:00,0.182113240152074,0.14828060310688565,0.6146301530207892,0.03604422924402164,0.15205292866220227,0.26019699319856815,0.5906357264737303,1-3,0.06473357183109155,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-21,14:30,Go Ahead Eag,Groningen,2025-12-21 14:30:00,0.7578050501011406,0.1224775752414007,0.0820264835807571,0.3742722357664596,0.04601517385871094,0.5565472569196206,0.06766122669424283,3-0,0.08704338263294875,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-21,14:30,Feyenoord,Twente,2025-12-21 14:30:00,0.6549028275819823,0.16485932993742625,0.15863313577194604,0.2701681819397877,0.06597361114225128,0.4893852617366252,0.13661708339602707,2-1,0.08662836515682994,Eredivise,VriendenLoterij Eredivisie,2025-2026
2025-12-21,16:45,Fortuna Sittard,AZ Alkmaar,2025-12-21 16:45:00,0.2709762569538967,0.25504400391315374,0.47279327438468927,0.21615815128303942,0.3346575734603471,0.09805297969856727,0.1980551174397534,1-1,0.1213091739312836,Eredivise,VriendenLoterij Eredivisie,2025-2026
2026-01-09,20:00,NEC Nijmegen,Utrecht,2026-01-09 20:00:00,0.39603221577418585,0.18732790213897782,0.3933784101777772,0.08961967403849876,0.0889187735138323,0.41579732987856977,0.4138314231556063,2-2,0.06816135218730139,Eredivise,VriendenLoterij Eredivisie,2025-2026
2026-01-10,16:30,AZ Alkmaar,Volendam,2026-01-10 16:30:00,0.8023300542955218,0.14855529185004165,0.041772344628991535,0.7215650985650103,0.11156650837422986,0.3681024172694495,0.0042346309104297425,2-0,0.19503399560049905,Eredivise,VriendenLoterij Eredivisie,2025-2026
2026-01-10,18:45,Twente,Zwolle,2026-01-10 18:45:00,0.6971775557100813,0.13315047151240517,0.12105489781322769,0.24837935518352863,0.03849671099322801,0.5833652518522887,0.14517421032894293,3-1,0.07772918553280236,Eredivise,VriendenLoterij Eredivisie,2025-2026
2026-01-10,20:00,PSV Eindhoven,Excelsior,2026-01-10 20:00:00,0.8027063281539619,0.08200674968866219,0.04295462941949768,0.426455398284054,0.02764292422744762,0.6228613058073016,0.040985964238104584,3-0,0.09785993238182898,Eredivise,VriendenLoterij Eredivisie,2025-2026
